Season,Team,Tournament,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
2018/2019,Chelsea,EPL,13(3),1226,8,9,2,-,2.7,84.6,0.9,7,7.91
2018/2019,Chelsea,UEL,1(1),98,-,-,-,-,1,88.1,-,-,7.53
2018/2019,Belgium,UNL,4,344,1,-,-,-,2.5,82.8,0.5,-,7.38
2017/2018,Chelsea,UCL,7(1),611,3,3,-,-,2.8,77.6,0.5,2,7.72
2017/2018,Chelsea,EPL,28(6),2433,12,4,2,-,2.1,83.6,0.2,9,7.69
2016/2017,Chelsea,EPL,36,3007,16,5,3,-,2.1,84.2,0.6,13,7.81
2018,Belgium,WC,6,518,3,2,1,-,2.8,81.7,1,4,8.51
2015/2016,Chelsea,UCL,6(2),526,-,1,-,-,1.9,84.6,0.3,-,7.10
2015/2016,Chelsea,EPL,25(6),2192,4,3,2,-,1.2,86,0.4,5,7.11
2014/2015,Chelsea,UCL,7,654,3,2,1,-,2.3,82,0.1,2,8.40
2014/2015,Chelsea,EPL,38,3379,14,9,2,-,2.1,86.8,0.4,10,7.96
2016,Belgium,UEC,5,441,1,4,-,-,2.4,88.5,0.2,1,7.92
2013/2014,Chelsea,UCL,8(1),682,2,-,-,-,1.4,86.2,0.3,1,7.41
2013/2014,Chelsea,EPL,32(3),2898,14,7,2,-,2.1,83.4,0.5,6,7.68
2014,Belgium,WC,4(1),368,-,2,1,-,1.4,82,-,2,7.44
2012/2013,Chelsea,UEL,5(2),449,1,1,-,-,1.3,77.9,0.6,-,7.31
2012/2013,Chelsea,UCL,4(2),457,-,2,-,-,1.8,81.7,0.8,-,7.39
2012/2013,Chelsea,EPL,31(3),2640,9,11,2,-,1.9,85.1,0.2,5,7.33
2011/2012,Lille,UCL,6,540,-,1,1,-,2.5,82.9,0.5,1,7.48
2011/2012,Lille,FL1,35(3),3212,20,16,2,-,2.8,81.9,0.1,10,7.80
2010/2011,Lille,FL1,35(3),3085,7,10,2,-,1,80.4,0.3,7,7.47
2009/2010,Lille,FL1,31(6),2696,5,8,3,-,1.4,77.3,0.2,3,7.20
