Season,Team,Tournament,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
2018/2019,Paris Saint-G..,UCL,5(1),414,2,1,-,-,2,82.9,0.2,-,6.97
2018/2019,Paris Saint-G..,FL1,10,833,10,1,-,-,2.8,74.8,0.1,2,7.67
2017/2018,Paris Saint-G..,UCL,8,680,7,1,1,-,3.4,79.9,0.6,-,7.59
2017/2018,Paris Saint-G..,FL1,30(2),2589,28,6,3,-,3.3,80.2,0.3,2,7.69
2016/2017,Paris Saint-G..,UCL,8,720,8,1,1,-,4.4,79.4,0.5,2,7.58
2016/2017,Paris Saint-G..,FL1,35(1),2978,35,4,5,-,4,81.9,0.3,4,7.36
2018,Uruguay,WC,4,344,3,-,-,-,4,80.5,1,1,7.75
2015/2016,Paris Saint-G..,UCL,7(3),642,2,-,-,-,1.5,84.9,0.3,-,6.60
2015/2016,Paris Saint-G..,FL1,24(8),2305,19,5,3,-,2.7,85.4,0.3,2,7.27
2015,Uruguay,ICA,4,333,-,-,-,1,2.3,75,0.8,-,6.23
2014/2015,Paris Saint-G..,UCL,10,920,6,-,1,-,3.3,83.5,1,1,7.23
2014/2015,Paris Saint-G..,FL1,30(5),2630,18,1,2,1,3.2,82,0.3,-,7.05
2013/2014,Paris Saint-G..,UCL,8,686,4,-,3,-,2.4,88.3,0.6,-,7.17
2013/2014,Paris Saint-G..,FL1,25(5),2299,16,2,2,-,3.2,85.5,0.3,2,7.16
2014,Uruguay,WC,4,360,1,1,-,-,3.3,80,0.8,-,6.62
2013,Uruguay,ICC,4,391,4,1,2,-,3,78.6,0.3,-,7.08
2012/2013,Napoli,ISA,33(1),2981,29,4,8,-,4.6,77.9,0.9,8,7.69
2012/2013,Napoli,UEL,4(3),464,7,-,3,-,4.3,82,0.6,1,7.15
2011/2012,Napoli,ISA,32(3),2916,23,3,4,-,3.5,72.4,0.4,1,7.17
2011/2012,Napoli,UCL,8,702,5,2,2,-,2.6,72.5,0.5,1,7.20
2010/2011,Napoli,ISA,32(3),2904,26,6,4,1,3.6,73,0.5,5,7.33
2009/2010,Palermo,ISA,31(3),2617,13,-,7,-,2.7,76.7,0.6,3,7.08
