Season,Team,Tournament,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
2018/2019,Paris Saint-G..,UCL,6,521,3,4,1,-,3.7,79.1,-,1,7.62
2018/2019,Paris Saint-G..,FL1,8(3),838,12,4,2,1,3.9,77.3,0.2,3,7.96
2018/2019,France,UNL,4,356,1,-,-,-,2.5,81.4,-,1,6.79
2017/2018,Paris Saint-G..,UCL,8,658,4,3,1,-,3,80.7,0.3,1,7.91
2017/2018,Monaco,FL1,1,75,-,-,-,-,3,70.4,-,-,7.51
2017/2018,Paris Saint-G..,FL1,24(3),2097,13,8,2,-,2.9,83.1,0.3,7,7.54
2016/2017,Monaco,UCL,6(3),536,6,-,-,-,1.9,83.3,0.1,1,7.16
2016/2017,Monaco,FL1,17(12),1501,15,8,2,-,1.8,73.3,0.3,5,7.22
2018,France,WC,6(1),534,4,-,2,-,1.1,77.6,0.3,1,7.75
2015/2016,Monaco,UEL,0(1),34,-,1,-,-,1,60,-,-,6.09
2015/2016,Monaco,FL1,2(9),288,1,1,1,-,0.5,70.5,0.1,-,6.34
