Season,Team,Tournament,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
2018/2019,Manchester Ci..,EPL,13,965,8,4,2,-,4.2,87.1,0.2,1,7.69
2018/2019,Manchester Ci..,UCL,2(1),207,2,-,2,-,4,89.6,1,-,7.29
2017/2018,Manchester Ci..,UCL,5(2),440,4,1,-,-,3.4,77.2,0.3,-,7.05
2017/2018,Manchester Ci..,EPL,22(3),1969,21,6,2,-,3.8,82.8,0.4,4,7.81
2016/2017,Manchester Ci..,UCL,6(1),541,5,2,1,-,3,81.3,0.3,2,7.64
2016/2017,Manchester Ci..,EPL,25(6),2407,20,3,4,1,4.5,82.4,0.2,6,7.33
2018,Argentina,WC,2(2),178,2,-,-,-,1.5,83.3,0.3,-,6.71
2015/2016,Manchester Ci..,UCL,8(1),706,2,-,-,-,2.4,80.4,0.3,-,6.74
2015/2016,Manchester Ci..,EPL,29(1),2375,24,2,1,-,4,84.7,0.3,5,7.39
2015,Argentina,ICA,5,386,3,-,1,-,2.6,86.9,1,1,7.20
2014/2015,Manchester Ci..,UCL,6(1),550,6,1,2,-,2.7,82.7,0.1,1,7.09
2014/2015,Manchester Ci..,EPL,30(3),2540,26,8,4,-,4.5,85.6,0.2,5,7.67
2013/2014,Manchester Ci..,UCL,6,433,6,2,1,-,3.7,81.6,0.2,2,7.67
2013/2014,Manchester Ci..,EPL,20(3),1539,17,6,4,-,3.7,84.9,0.4,6,7.71
2014,Argentina,WC,3(2),317,-,-,1,-,1.6,71.9,0.8,-,6.10
2012/2013,Manchester Ci..,UCL,4(1),391,2,-,-,-,3,92.7,0.4,-,6.88
2012/2013,Manchester Ci..,EPL,22(8),1946,12,2,2,-,2.9,82.4,0.2,-,7.03
2011/2012,Manchester Ci..,UCL,3(3),323,1,-,1,-,1.7,86.4,-,-,6.55
2011/2012,Manchester Ci..,EPL,31(3),2602,23,8,2,-,3.8,86.5,0.1,6,7.45
2010/2011,Atletico Madr..,SLL,31(1),2678,20,2,6,-,3.9,77.4,0.1,5,7.38
2009/2010,Atletico Madr..,SLL,24(7),2205,12,4,6,-,2.8,77.3,0.1,3,7.25
2009/2010,Atletico Madr..,UCL,5(1),444,2,-,1,-,2.3,78.5,0.2,-,7.17
