Season,Team,Tournament,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
2018/2019,Atletico Madr..,SLL,16,1371,6,6,2,-,2.8,75.1,0.9,2,7.24
2018/2019,Atletico Madr..,UCL,6,540,4,2,1,-,2.8,77.8,1,3,7.61
2018/2019,France,UNL,4,341,2,-,1,-,2.3,78.6,0.3,1,7.06
2017/2018,Atletico Madr..,SLL,30(2),2530,19,9,7,1,2.3,77.6,0.8,8,7.38
2017/2018,Atletico Madr..,UEL,7(1),631,6,2,-,-,3.6,78.8,0.5,3,7.91
2017/2018,Atletico Madr..,UCL,6,529,2,2,1,-,3,84.1,0.5,1,6.98
2016/2017,Atletico Madr..,SLL,36,3067,16,8,3,-,2.4,78.3,1.2,4,7.37
2016/2017,Atletico Madr..,UCL,12,1068,6,2,-,-,2.5,79.7,1.1,3,7.35
2018,France,WC,7,571,4,2,-,-,3.1,74.7,0.7,1,7.51
2015/2016,Atletico Madr..,SLL,36(2),3058,22,5,5,-,2.4,78.3,1.5,8,7.50
2015/2016,Atletico Madr..,UCL,13,1136,7,1,1,-,2.8,81.6,1.4,2,7.56
2014/2015,Atletico Madr..,SLL,29(8),2473,22,1,6,-,2.1,79.2,1.4,5,7.15
2014/2015,Atletico Madr..,UCL,5(4),538,2,-,1,-,1.9,73.8,1.3,-,6.93
2016,France,UEC,6(1),555,6,2,-,-,4,81.8,0.6,2,7.84
2013/2014,Real Sociedad,SLL,31(4),2666,16,3,5,-,3.2,77.3,1.2,4,7.22
2013/2014,Real Sociedad,UCL,6,493,-,-,-,-,3,76,2.2,-,6.80
2014,France,WC,3(2),295,-,-,-,-,1.4,81.7,0.6,-,6.80
2012/2013,Real Sociedad,SLL,32(2),2859,10,3,8,-,2.7,80.7,0.9,4,7.12
2011/2012,Real Sociedad,SLL,28(7),2621,7,4,5,-,2.7,73,0.9,5,7.21
2010/2011,Real Sociedad,SLL,34(3),2869,7,1,7,-,2,67.9,1.1,2,7.01
