Season,Team,Tournament,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
2018/2019,Tottenham,EPL,16(1),1450,9,3,3,-,3.1,71.8,1.9,5,7.32
2018/2019,Tottenham,UCL,6,540,4,1,1,-,4.5,78.3,2,1,7.76
2018/2019,England,UNL,4,360,1,2,-,-,2.5,68.3,4.3,2,7.54
2017/2018,Tottenham,UCL,7,597,7,2,-,-,4.6,78.6,1.6,2,8.34
2017/2018,Tottenham,EPL,35(2),3083,30,2,5,-,5,71.2,1.6,9,7.60
2016/2017,Tottenham,UCL,3,263,2,-,1,-,4.3,74.7,1,-,7.34
2016/2017,Tottenham,EPL,29(1),2536,29,7,3,-,3.7,71.7,1.5,7,7.68
2016/2017,Tottenham,UEL,2,180,-,-,-,-,3.5,84.5,2,-,6.59
2018,England,WC,6,573,6,-,-,-,2.3,69.1,4.8,2,7.67
2015/2016,Tottenham,UEL,3(4),359,2,1,1,-,2.4,72.2,0.9,1,6.79
2015/2016,Tottenham,EPL,38,3370,25,1,5,-,4.2,73.1,2,8,7.53
2015,England U21,IEU,3,270,-,-,-,-,5.7,73.1,4.3,-,6.97
2014/2015,Tottenham,UEL,4(3),423,5,-,-,-,2.4,68.1,1.7,1,7.14
2014/2015,Tottenham,EPL,28(6),2582,21,4,4,-,3.3,75.2,1.5,5,7.28
2016,England,UEC,3(1),240,-,-,-,-,3.3,71.2,2.5,-,6.89
2013/2014,Tottenham,UEL,1(4),122,-,2,-,-,0.8,70.7,1.2,-,6.35
2013/2014,Tottenham,EPL,6(4),500,3,-,-,-,2.8,76.9,1.4,1,6.87
2012/2013,Tottenham,EPL,0(1),4,-,-,-,-,-,-,-,-,6.13
2012/2013,Norwich,EPL,1(2),135,-,-,-,-,1.3,74.3,1.3,-,6.43
