Season,Team,Tournament,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
2018/2019,Paris Saint-G..,UCL,1(4),124,-,1,1,-,0.2,95.8,0.2,-,6.25
2018/2019,Paris Saint-G..,FL1,10(4),886,3,2,2,-,0.9,91.2,0.7,2,7.09
2018/2019,Germany,UNL,0(2),49,-,-,-,-,2,88,-,-,6.00
2017/2018,Paris Saint-G..,UCL,3(5),316,-,1,1,-,0.5,91.7,0.4,-,6.64
2017/2018,Paris Saint-G..,FL1,19(11),1706,4,5,1,-,0.8,92.8,0.3,-,7.04
2016/2017,Wolfsburg,GB,12(1),1055,-,2,-,-,2.2,82.4,1.3,-,7.09
2016/2017,Paris Saint-G..,UCL,2,161,1,-,1,-,2,70.8,1,-,7.57
2016/2017,Paris Saint-G..,FL1,12(5),1016,4,1,2,-,1.4,84.4,0.6,-,7.19
2018,Germany,WC,2,136,-,-,-,-,3,91.6,2,-,6.94
2015/2016,Schalke 04,GB,3,253,1,-,1,-,3.3,81.8,1.7,1,7.43
2015/2016,Wolfsburg,GB,19(2),1522,5,5,4,1,1.6,83.4,1,1,7.17
2015/2016,Wolfsburg,UCL,8(1),656,3,2,-,-,1.4,88.5,0.2,2,7.25
2014/2015,Schalke 04,GB,8(7),774,2,1,1,1,1.5,76.6,1.7,1,6.86
2014/2015,Schalke 04,UCL,3,258,-,1,-,-,5.3,85.7,1,-,7.27
2016,Germany,UEC,4(1),360,1,1,1,-,2,81.1,1.2,1,7.22
2013/2014,Schalke 04,UCL,7(1),594,3,1,1,-,1.5,81.7,1.8,1,7.21
2013/2014,Schalke 04,GB,25(1),2154,2,6,5,-,1.8,84.1,1.9,3,7.69
2014,Germany,WC,0(1),14,-,-,-,-,-,100,-,-,6.27
2012/2013,Schalke 04,GB,24(6),2150,10,3,5,-,2,81.9,1.2,3,7.41
2012/2013,Schalke 04,UCL,5(1),409,1,-,-,-,2.8,81.7,0.8,1,7.32
2011/2012,Schalke 04,GB,21(9),1790,2,3,2,-,1.1,82.8,0.5,1,7.14
2010/2011,Schalke 04,GB,3(12),514,1,-,1,-,0.5,83.3,0.1,-,6.35
2010/2011,Schalke 04,UCL,1(5),147,-,-,-,-,0.2,91.5,0.2,-,6.17
