Season,Team,Tournament,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
2018/2019,Napoli,ISA,13(2),1125,7,5,4,-,4.5,85.6,0.1,2,7.39
2018/2019,Napoli,UCL,6,490,3,-,-,-,3,81.3,0.3,-,6.90
2018/2019,Italy,UNL,3,251,-,-,-,-,2.3,83.3,-,-,6.47
2017/2018,Napoli,ISA,36(1),3104,8,11,4,-,4.8,85.2,0.1,7,7.51
2017/2018,Napoli,UEL,1(1),126,1,-,-,-,2.5,82.9,-,-,7.14
2017/2018,Napoli,UCL,5,391,3,-,1,-,3.2,82.5,-,-,7.30
2016/2017,Napoli,ISA,35(2),2935,18,9,2,-,4,86.1,-,8,7.67
2016/2017,Napoli,UCL,6(2),498,1,-,-,-,2,83.2,0.1,-,6.57
2015/2016,Napoli,ISA,34(3),2626,12,10,2,-,3.6,80.5,0.1,5,7.25
2015/2016,Napoli,UEL,3(2),235,1,1,1,-,3.2,83.2,-,-,6.94
2014/2015,Napoli,ISA,13(7),1064,2,3,-,-,2.2,82.1,-,1,6.91
2014/2015,Napoli,UEL,3(2),278,-,3,-,-,2.6,77.6,-,-,7.18
2016,Italy,UEC,0(3),36,-,-,1,-,1.3,94.7,-,-,6.40
2013/2014,Napoli,ISA,25(11),2394,3,6,2,-,2.3,82.5,-,-,7.04
2013/2014,Napoli,UCL,2(4),235,2,1,1,-,1.8,83.9,-,1,7.02
2013/2014,Napoli,UEL,4,323,1,-,1,-,3.3,73,-,-,7.02
2014,Italy,WC,0(1),33,-,-,-,-,1,77.8,-,-,6.11
2013,Italy U21,IEU,4,305,1,2,1,-,2,77.1,-,-,7.07
2012/2013,Napoli,ISA,16(21),1752,5,7,4,-,1.8,82.1,0.1,-,6.95
2012/2013,Napoli,UEL,4(1),366,-,2,-,-,2.2,81.1,-,-,7.00
