Season,Team,Tournament,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
2018/2019,Borussia Dort..,GB,16,1393,10,5,2,-,2.6,81.5,0.7,4,7.46
2018/2019,Borussia Dort..,UCL,5,450,1,1,1,-,1.4,81.1,0.8,1,7.60
2018/2019,Germany,UNL,1(1),110,-,-,-,-,0.5,80.6,-,-,6.07
2017/2018,Borussia Dort..,GB,11,935,7,-,1,-,2.8,80.2,0.3,2,7.39
2017/2018,Borussia Dort..,UEL,3(1),229,-,-,-,-,0.8,79.1,0.3,-,6.13
2016/2017,Borussia Dort..,GB,16(1),1190,7,4,1,1,2.5,75.5,0.4,1,7.15
2016/2017,Borussia Dort..,UCL,3(1),291,4,1,-,-,3,77,0.3,1,7.83
2018,Germany,WC,2(1),211,1,1,-,-,2,82.2,0.3,-,6.51
2015/2016,Borussia Dort..,GB,24(2),1927,12,3,2,-,2.4,82.1,0.3,2,7.20
2015/2016,Borussia Dort..,UEL,10,744,5,2,1,-,2.7,85.5,0.2,-,7.40
2014/2015,Borussia Dort..,GB,18(2),1571,7,5,1,-,3.3,75.7,0.8,5,7.54
2014/2015,Borussia Dort..,UCL,4,341,3,1,1,-,2,87.6,-,1,7.69
2013/2014,Borussia Dort..,UCL,9,769,5,2,2,-,4,80.8,0.4,1,7.62
2013/2014,Borussia Dort..,GB,26(4),2221,16,13,6,-,3.7,74.7,0.9,5,7.91
2012/2013,Borussia Dort..,GB,27(5),2356,14,9,4,-,2.7,76.7,0.9,7,7.61
2012/2013,Borussia Dort..,UCL,13,1079,4,1,1,-,2.2,74.8,0.4,1,7.51
2012,Germany,UEC,1(1),125,1,-,-,-,4.5,86.4,-,-,7.22
2011/2012,Borussia M.Gl..,GB,32,2782,18,9,3,-,3.2,78.4,0.2,12,7.99
2010/2011,Borussia M.Gl..,GB,32,2857,10,8,9,-,2.5,74.1,0.4,4,7.35
2009/2010,Borussia M.Gl..,GB,27(6),2471,8,3,-,-,1.5,76.4,0.2,3,7.14
