Season,Team,Tournament,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
2018/2019,Arsenal,EPL,10(1),845,3,1,1,-,0.5,86.5,0.3,1,6.92
2018/2019,Arsenal,UEL,1(2),141,1,1,-,-,0.7,92.2,0.3,-,7.05
2017/2018,Arsenal,UEL,7,609,1,4,-,-,1,86.4,-,1,7.70
2017/2018,Arsenal,EPL,24(2),2164,4,8,4,-,1.5,86.5,-,2,7.25
2016/2017,Arsenal,UCL,7(1),627,4,3,-,-,1.5,84.6,0.3,2,7.37
2016/2017,Arsenal,EPL,32(1),2848,8,9,2,-,1.2,86.6,0.2,4,7.30
2018,Germany,WC,2,180,-,-,-,-,1,88.8,-,-,6.93
2015/2016,Arsenal,UCL,8,720,2,-,2,-,1.3,82.8,0.1,-,7.03
2015/2016,Arsenal,EPL,35,3049,6,19,4,-,1.4,86.3,0.1,6,7.66
2014/2015,Arsenal,UCL,4,319,-,1,2,-,0.8,86.7,0.3,-,6.80
2014/2015,Arsenal,EPL,21(1),1860,4,5,-,-,1.3,88.3,0.2,-,7.57
2016,Germany,UEC,6,570,1,1,2,-,2.3,89.2,-,1,7.45
2013/2014,Real Madrid,SLL,2,134,-,-,-,-,0.5,83.3,-,-,7.18
2013/2014,Arsenal,UCL,8,668,1,2,1,-,0.9,84.3,0.3,1,6.83
2013/2014,Arsenal,EPL,25(1),2150,5,9,-,-,1.2,88,0.2,4,7.27
2014,Germany,WC,7,655,1,1,-,-,1.3,86.9,0.1,-,7.17
2012/2013,Real Madrid,SLL,23(9),2042,9,13,5,-,0.9,84.2,0.2,1,7.39
2012/2013,Real Madrid,UCL,8(2),723,1,4,1,-,0.9,86.5,0.1,2,6.97
2012,Germany,UEC,5,438,1,3,-,-,1.6,88.7,-,2,7.82
2011/2012,Real Madrid,SLL,30(5),2591,4,17,5,1,0.9,87.1,0.1,4,7.37
2011/2012,Real Madrid,UCL,10,810,2,3,-,-,1.4,85.9,0.2,-,7.48
2010/2011,Real Madrid,SLL,30(6),2571,6,17,2,-,1.1,85.4,0.1,1,7.44
2010/2011,Real Madrid,UCL,9(2),805,1,6,-,-,1.4,86.2,0.1,-,7.41
2009/2010,Werder Bremen,GB,29(2),2601,9,13,2,-,2.2,82.5,0.1,6,7.62
