Season,Team,Tournament,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
2018/2019,Liverpool,EPL,16(1),1400,10,4,-,-,3.5,76.3,0.5,2,7.61
2018/2019,Liverpool,UCL,6,518,3,-,1,-,4,70.8,0.5,-,6.77
2017/2018,Liverpool,UCL,12(1),931,10,4,-,-,3.3,74.7,0.2,1,7.97
2017/2018,Liverpool,EPL,34(2),2922,32,10,1,-,4,76.7,0.4,8,7.69
2016/2017,Roma,ISA,29(2),2487,15,11,2,-,2.6,80.4,0.3,4,7.48
2016/2017,Roma,UEL,4(2),373,2,1,-,-,2.3,83.1,0.2,-,7.02
2015/2016,Roma,ISA,32(2),2739,14,6,1,1,2.1,82.9,0.2,4,7.20
2018,Egypt,WC,2,180,2,-,-,-,3,78.4,-,-,6.98
2015/2016,Roma,UCL,6(1),543,1,-,-,-,1.9,79,0.1,-,6.97
2014/2015,Fiorentina,ISA,10(6),912,6,3,-,-,1.8,86.3,0.3,1,7.17
2014/2015,Chelsea,UCL,1(1),77,-,-,-,-,2.5,72.7,-,-,6.65
2014/2015,Fiorentina,UEL,8,718,1,1,1,-,3.3,87.1,0.4,1,7.34
2014/2015,Chelsea,EPL,0(3),30,-,-,-,-,0.7,78.3,-,-,5.97
2013/2014,FC Basel 1893,UCL,6,532,2,-,-,-,1.7,77.1,-,-,6.81
2013/2014,Chelsea,EPL,6(4),501,2,1,1,-,2.1,82.3,0.2,2,6.88
2012/2013,FC Basel 1893,UEL,10(4),948,2,3,-,-,1.8,78.9,0.1,-,6.63
