Season,Team,Tournament,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
2018/2019,Arsenal,EPL,15(2),1307,10,3,-,-,2.4,75.8,1.1,1,7.13
2018/2019,Arsenal,UEL,2(1),204,2,-,-,-,4.3,83.7,-,1,7.37
2017/2018,Borussia Dort..,GB,16,1417,13,3,-,1,3.6,76.5,1.6,2,7.25
2017/2018,Borussia Dort..,UCL,6,540,4,-,-,-,3.8,76.3,0.8,-,6.70
2017/2018,Arsenal,EPL,12(1),1058,10,4,-,-,2.4,69.4,0.6,2,7.33
2016/2017,Borussia Dort..,GB,31(1),2782,31,2,3,-,3.6,69.7,1.3,3,7.42
2016/2017,Borussia Dort..,UCL,8(1),708,7,1,1,-,3.3,80.9,1.1,1,7.28
2015/2016,Borussia Dort..,GB,28(3),2475,25,5,4,-,3.8,68.7,0.9,2,7.31
2015/2016,Borussia Dort..,UEL,9(1),773,8,-,-,-,3.2,69.6,0.7,2,7.31
2015,Gabon,ACoN,3,270,1,-,-,-,3,74.4,0.3,-,6.91
2014/2015,Borussia Dort..,GB,31(2),2723,16,6,4,-,3.1,66.7,1.6,-,7.07
2014/2015,Borussia Dort..,UCL,7(1),617,3,2,-,-,2.6,74.6,1,1,7.24
2013/2014,Borussia Dort..,UCL,3(6),387,1,-,1,-,1.4,72.1,0.7,-,6.36
2013/2014,Borussia Dort..,GB,21(11),1974,13,4,1,-,2,68.2,1.1,1,7.05
2012/2013,Saint-Etienne,FL1,36(1),3214,19,9,2,-,3.7,73.8,0.5,5,7.12
2011/2012,Saint-Etienne,FL1,36,3156,16,7,2,-,3.4,68.6,0.9,4,7.07
2010/2011,Saint-Etienne,FL1,8(6),778,2,-,-,-,1.8,61.7,0.9,1,6.58
2010/2011,Monaco,FL1,17(2),1444,2,2,1,-,2.1,63.5,0.5,-,6.72
2009/2010,Lille,FL1,4(10),495,2,-,-,-,1.1,77.4,0.1,-,6.44
