Season,Team,Tournament,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
2018/2019,Bayern Munich,GB,15,1339,10,4,-,-,4.1,80.1,1.5,2,7.36
2018/2019,Bayern Munich,UCL,6,534,8,-,-,-,4,72.8,3,2,8.01
2018/2019,Poland,UNL,3,270,-,2,-,-,1,77.4,2.3,1,6.75
2017/2018,Bayern Munich,GB,24(6),2169,29,2,1,-,4.2,79.5,1.8,2,7.49
2017/2018,Bayern Munich,UCL,11,955,5,1,2,-,4.2,77.1,2,1,7.29
2016/2017,Bayern Munich,GB,31(2),2777,30,5,5,-,4.3,75.2,1.9,6,7.74
2016/2017,Bayern Munich,UCL,9,794,8,1,-,-,4,75,1.3,1,7.52
2018,Poland,WC,3,270,-,-,-,-,3,81.9,3.3,-,6.44
2015/2016,Bayern Munich,GB,29(3),2654,30,2,2,-,4.8,79.2,1.7,6,7.60
2015/2016,Bayern Munich,UCL,11(1),942,9,1,2,-,4,83,1.5,1,7.37
2014/2015,Bayern Munich,GB,28(3),2487,17,5,-,-,3.4,76.3,2.2,1,7.43
2014/2015,Bayern Munich,UCL,10(2),933,6,2,1,-,3.8,72,2.1,-,7.49
2016,Poland,UEC,5,510,1,-,-,-,2.4,67.1,2.8,-,6.80
2013/2014,Borussia Dort..,UCL,9,809,6,2,3,-,2.4,71.7,3.1,2,7.40
2013/2014,Borussia Dort..,GB,31(2),2807,20,6,3,-,3.5,72.1,4.4,7,8.00
2012/2013,Borussia Dort..,GB,29(2),2599,24,5,2,1,3.2,71.9,2.8,4,7.66
2012/2013,Borussia Dort..,UCL,12(1),1090,10,2,1,-,3.8,68.2,3.2,1,7.63
2012,Poland,UEC,3,270,1,-,1,-,3,63.4,1,-,6.75
2011/2012,Borussia Dort..,GB,34,2881,22,8,4,-,3.5,70.6,2.3,6,7.63
2011/2012,Borussia Dort..,UCL,6,522,1,2,-,-,2.2,55.8,2.5,-,6.93
2010/2011,Borussia Dort..,GB,15(18),1612,8,1,4,-,2.4,64.9,0.9,-,6.76
