Season,Team,Tournament,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
2018/2019,Manchester Un..,EPL,12(4),1184,6,-,2,-,1.8,66.3,2.7,1,6.84
2018/2019,Manchester Un..,UCL,4(1),365,-,1,1,-,1.6,72.9,2.4,-,6.57
2018/2019,Belgium,UNL,2,180,4,-,-,-,5.5,73.8,1,2,8.63
2017/2018,Manchester Un..,UCL,8,704,5,-,-,-,3.3,70.3,4.5,2,7.70
2017/2018,Manchester Un..,EPL,33(1),2869,16,7,4,-,2.5,68.4,3.2,2,7.29
2016/2017,Everton,EPL,36(1),3267,25,6,3,-,3,65.5,3.7,6,7.50
2018,Belgium,WC,6,476,4,1,-,-,2.2,74.5,2,1,7.10
2015/2016,Everton,EPL,36(1),3177,18,6,3,-,3.2,72.6,2.5,4,7.16
2014/2015,Everton,UEL,7(2),634,8,2,3,-,3,73.3,2.4,2,7.74
2014/2015,Everton,EPL,32(4),2877,10,5,1,-,2.9,73.8,1.7,2,6.77
2016,Belgium,UEC,5,401,2,-,-,-,2.4,74.3,2.8,-,7.02
2013/2014,Everton,EPL,29(2),2564,15,6,1,-,3.2,66.6,2.9,4,7.31
2013/2014,Chelsea,EPL,0(2),41,-,-,-,-,1.5,81.3,0.5,-,6.14
2014,Belgium,WC,2(2),177,1,-,-,-,1.5,75,0.8,-,6.55
2012/2013,West Bromwich..,EPL,20(15),2006,17,4,3,-,2.8,72,1.9,5,6.95
2011/2012,Chelsea,EPL,1(7),158,-,1,-,-,1.1,81.1,0.3,-,6.35
