Season,Team,Tournament,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
2018/2019,Bayern Munich,GB,13(2),1148,4,2,1,-,1.9,73.7,1.5,2,6.98
2018/2019,Bayern Munich,UCL,4(2),354,-,1,-,1,1.2,68.4,1.8,-,6.63
2018/2019,Germany,UNL,2(2),172,-,-,-,-,2,70,1.3,-,6.42
2017/2018,Bayern Munich,GB,22(7),1966,8,14,4,-,1.5,76.9,1.2,1,7.28
2017/2018,Bayern Munich,UCL,8(2),734,3,2,1,-,2.3,74.1,1.8,-,7.06
2016/2017,Bayern Munich,GB,25(4),2265,5,12,-,-,2.2,76,1.8,1,7.30
2016/2017,Bayern Munich,UCL,5(4),463,3,-,-,-,2.4,78.4,1.3,-,6.72
2018,Germany,WC,2(1),207,-,-,1,-,1.3,77.6,2,-,6.72
2015/2016,Bayern Munich,GB,26(5),2345,20,5,4,-,3,77,1.7,3,7.50
2015/2016,Bayern Munich,UCL,9(3),926,8,2,1,-,3,81.8,1.3,-,7.19
2014/2015,Bayern Munich,GB,28(4),2374,13,10,1,-,2.6,72.4,1.9,3,7.27
2014/2015,Bayern Munich,UCL,10,778,7,3,-,-,2.4,74.5,0.9,1,7.59
2016,Germany,UEC,6,570,-,1,-,-,3.3,76.4,2.5,-,7.24
2013/2014,Bayern Munich,UCL,8(4),710,5,1,-,-,1.9,83.4,0.8,1,6.89
2013/2014,Bayern Munich,GB,25(6),2173,13,10,2,-,2.3,78.6,1.6,3,7.36
2014,Germany,WC,7,682,5,3,-,-,2.3,75.4,2,2,7.98
2012/2013,Bayern Munich,GB,25(3),2102,13,11,-,-,2.4,77.7,1.5,4,7.69
2012/2013,Bayern Munich,UCL,12(1),1047,8,2,1,-,2.5,72.6,2.2,3,7.53
2012,Germany,UEC,3(2),306,-,-,-,-,1,80.7,0.8,-,6.45
2011/2012,Bayern Munich,GB,33(1),2702,7,7,1,-,1.9,78.8,0.9,1,7.31
2011/2012,Bayern Munich,UCL,8(4),720,2,1,2,-,1.7,79.8,0.7,-,7.06
2010/2011,Bayern Munich,GB,32(2),2801,12,11,2,-,1.8,76.4,0.6,1,7.37
2010/2011,Bayern Munich,UCL,7(1),621,3,2,-,-,1.9,79.5,0.3,1,7.47
2009/2010,Bayern Munich,GB,29(5),2645,13,6,3,-,1.7,77,0.5,4,7.39
2009/2010,Bayern Munich,UCL,12,939,2,2,-,1,1.3,77.7,0.7,1,6.86
