Season,Team,Tournament,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
2018/2019,Paris Saint-G..,UCL,6,490,2,1,-,-,2.2,85.2,0.7,-,7.32
2018/2019,Paris Saint-G..,FL1,13(2),1101,3,6,1,-,3,80.7,-,1,7.38
2017/2018,Paris Saint-G..,UCL,1(4),143,1,1,-,-,1.4,76.2,-,-,6.55
2017/2018,Paris Saint-G..,FL1,26(4),2122,11,6,1,-,3.2,79.4,-,3,7.37
2016/2017,Paris Saint-G..,UCL,6(1),540,4,1,-,-,3.4,80.7,-,1,7.48
2016/2017,Paris Saint-G..,FL1,24(5),2048,6,7,1,1,2.9,76.4,-,5,7.28
2018,Argentina,WC,3,237,1,-,-,-,1,75.4,-,-,6.66
2015/2016,Paris Saint-G..,UCL,9(1),765,3,2,-,-,2.7,84.3,-,3,7.61
2015/2016,Paris Saint-G..,FL1,26(3),2134,10,18,-,-,2.4,80.5,-,5,7.94
2015,Argentina,ICA,6,469,2,2,-,-,2,82.6,-,2,7.90
2014/2015,Manchester Un..,EPL,20(7),1645,3,10,1,-,2.3,77.8,-,1,7.00
2013/2014,Real Madrid,SLL,27(7),2384,4,17,6,-,1.8,82.1,-,1,7.46
2013/2014,Real Madrid,UCL,9(2),824,3,5,1,-,1.8,79.9,0.1,2,7.60
2014,Argentina,WC,5,423,1,-,1,-,4.8,76.9,-,-,7.89
2012/2013,Real Madrid,SLL,22(10),1985,7,6,3,1,1.9,71.8,-,1,6.92
2012/2013,Real Madrid,UCL,9(2),799,-,4,-,-,2.5,74.6,-,1,7.12
2011/2012,Real Madrid,SLL,16(7),1351,5,15,5,1,2.1,74.8,-,2,7.40
2011/2012,Real Madrid,UCL,5(2),456,2,1,1,-,2,78.3,-,-,7.26
2010/2011,Real Madrid,SLL,29(6),2329,6,11,6,-,2.1,75.8,-,4,7.49
2010/2011,Real Madrid,UCL,8(2),724,3,3,2,-,2.6,72.9,-,1,7.44
