By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE
2018-19 ,HOU,30,36.7,113.3,111.8,1.5,43.0,1.57,21.3,1.8,14.1,7.9,13.5,54.5,61.7,36.8,96.73,18.7
2017-18 ,HOU,72,35.4,115.8,105.7,10.1,44.9,2.00,23.4,1.7,13.7,7.8,11.7,54.1,61.9,35.1,98.70,19.4
2016-17 ,HOU,81,36.4,115.4,108.5,6.9,50.5,1.95,27.9,3.1,18.5,10.9,14.3,52.5,61.3,33.3,101.64,19.0
2015-16 ,HOU,82,38.1,108.2,106.4,1.7,35.4,1.64,20.7,1.9,14.0,7.9,12.7,51.2,59.8,31.8,99.15,17.4
2014-15 ,HOU,81,36.8,108.9,103.1,5.9,34.0,1.76,20.8,2.5,12.6,7.5,11.8,51.1,60.5,30.8,97.92,18.4
2013-14 ,HOU,73,38.0,111.9,104.5,7.4,26.6,1.68,20.3,2.3,9.4,6.0,12.1,52.9,61.8,27.0,97.99,15.6
2012-13 ,HOU,78,38.3,108.6,105.5,3.1,25.7,1.54,18.7,2.1,10.5,6.4,12.2,50.4,60.0,28.5,97.90,14.9
2011-12 ,OKC,62,31.4,113.1,103.2,9.9,19.0,1.67,19.9,1.7,10.9,6.7,11.9,58.2,66.0,21.2,94.21,13.9
2010-11 ,OKC,82,26.7,108.5,103.5,5.0,13.6,1.66,15.8,2.0,9.6,6.0,9.5,51.8,59.8,19.2,94.84,10.8
2009-10 ,OKC,76,22.9,104.2,99.3,4.9,13.0,1.29,14.7,2.8,11.1,7.1,11.4,48.4,55.1,19.8,95.90,9.7
