By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE
2018-19 ,GSW,35,35.8,114.5,106.2,8.3,27.4,1.80,18.9,1.5,18.6,10.5,10.5,55.2,62.8,30.7,103.23,18.6
2017-18 ,GSW,68,34.2,115.4,108.4,7.0,24.3,1.77,18.7,1.5,16.9,9.9,10.6,58.6,64.0,29.2,102.65,16.8
2016-17 ,GSW,62,33.4,117.1,101.4,15.7,21.8,2.17,18.5,2.0,20.7,12.2,8.5,59.4,65.1,26.9,103.68,18.6
2015-16 ,OKC,72,35.8,114.1,102.3,11.9,23.0,1.44,16.4,1.8,18.8,11.0,11.4,57.3,63.4,29.7,99.79,19.4
2014-15 ,OKC,27,33.8,108.9,99.9,9.0,21.3,1.49,15.3,1.7,16.3,9.2,10.3,57.8,63.3,27.9,99.41,19.4
2013-14 ,OKC,81,38.5,111.1,102.9,8.2,25.9,1.56,16.2,2.0,16.4,9.6,10.3,56.0,63.5,32.1,97.82,20.6
2012-13 ,OKC,81,38.5,112.9,100.6,12.4,21.3,1.34,15.5,1.7,17.9,10.6,11.6,55.9,64.7,29.5,94.87,20.2
2011-12 ,OKC,66,38.6,108.8,101.6,7.2,17.0,0.93,11.7,1.7,17.7,10.3,12.5,54.7,61.0,30.2,95.45,18.6
2010-11 ,OKC,78,38.9,110.7,106.4,4.2,12.7,0.98,9.5,2.0,15.4,8.9,9.7,50.9,58.9,29.6,95.24,15.9
2009-10 ,OKC,82,39.5,108.7,102.5,6.3,13.0,0.85,9.1,3.4,15.8,9.8,10.7,51.4,60.7,31.0,95.68,18.3
2008-09 ,OKC,74,39.0,100.4,109.0,-8.6,13.5,0.91,10.1,2.7,14.9,8.6,11.1,51.0,57.7,27.6,95.89,14.8
2007-08 ,SEA,80,34.6,98.6,109.5,-10.9,12.0,0.83,9.7,2.4,9.8,6.1,11.7,45.1,51.9,27.2,99.11,10.4
