By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE
2018-19 ,DET,31,35.9,107.7,106.9,0.7,25.1,1.34,16.8,3.3,21.1,11.8,12.5,53.2,58.1,29.1,101.51,15.9
2017-18 ,TOT,58,34.0,108.1,106.4,1.7,28.6,2.02,20.4,3.6,17.5,10.6,10.1,49.3,54.4,28.3,99.18,14.4
2017-18 ,DET,25,33.2,106.5,104.1,2.4,30.9,2.35,22.7,3.1,15.7,9.5,9.7,48.9,53.1,27.4,98.19,13.5
2017-18 ,LAC,33,34.5,109.2,108.1,1.2,26.9,1.81,18.7,4.0,18.8,11.5,10.4,49.7,55.3,29.0,99.89,15.0
2016-17 ,LAC,61,34.0,116.3,105.8,10.5,23.5,2.11,18.8,5.7,18.1,12.2,8.9,51.3,56.9,27.5,97.64,15.2
2015-16 ,LAC,35,33.4,108.3,100.9,7.5,25.8,2.05,18.0,4.4,19.6,12.2,8.8,50.4,54.4,28.8,98.52,17.1
2014-15 ,LAC,67,35.2,116.7,104.1,12.6,24.6,2.33,19.3,5.6,16.1,11.0,8.3,50.6,55.1,27.7,96.20,14.6
2013-14 ,LAC,80,35.8,112.6,102.5,10.1,18.5,1.38,14.2,7.0,19.1,13.3,10.3,53.3,58.3,28.5,97.38,16.2
2012-13 ,LAC,80,32.5,112.5,104.3,8.2,19.2,1.62,17.3,7.7,20.0,13.8,10.7,54.1,57.2,24.9,92.48,15.0
2011-12 ,LAC,66,36.2,110.4,102.9,7.5,15.6,1.40,13.3,9.3,21.7,15.5,9.5,55.0,55.7,26.1,90.64,15.6
2010-11 ,LAC,82,37.9,105.5,107.4,-1.9,18.4,1.40,14.1,9.0,23.8,16.4,10.1,50.8,54.9,26.9,94.30,16.0
