By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE
2018-19 ,SAS,35,35.0,110.2,111.1,-0.9,28.8,2.63,20.9,2.1,13.8,8.0,8.0,48.6,54.8,29.3,98.68,14.4
2017-18 ,TOR,80,33.9,113.7,106.0,7.7,24.5,2.38,18.7,2.1,9.1,5.7,7.8,48.8,55.5,28.5,99.87,13.5
2016-17 ,TOR,74,35.4,111.0,108.4,2.6,20.4,1.61,12.6,2.7,11.9,7.4,7.8,47.7,55.2,33.6,96.70,15.5
2015-16 ,TOR,78,35.9,108.6,105.7,2.9,20.8,1.80,14.7,2.3,10.3,6.3,8.2,46.3,55.0,29.0,94.54,13.9
2014-15 ,TOR,60,35.0,108.0,105.2,2.7,17.4,1.53,13.8,2.0,11.3,6.7,9.0,42.6,51.0,28.1,94.04,11.5
2013-14 ,TOR,79,38.2,107.3,104.2,3.1,18.9,1.78,14.5,1.7,9.9,5.8,8.1,45.2,53.2,27.7,92.42,12.8
2012-13 ,TOR,82,36.7,103.1,104.8,-1.7,12.0,1.35,11.5,1.6,9.5,5.5,8.5,45.9,52.3,23.7,92.88,10.0
2011-12 ,TOR,63,35.0,100.9,103.2,-2.3,10.5,1.04,9.8,1.9,8.1,5.1,9.5,43.5,50.3,24.9,90.63,8.1
2010-11 ,TOR,82,34.8,104.0,111.2,-7.2,8.5,1.03,9.1,2.7,9.2,5.8,8.9,46.9,53.0,22.9,94.76,8.7
2009-10 ,TOR,77,21.6,105.9,112.7,-6.8,4.8,0.85,7.4,4.2,9.7,7.0,8.7,50.2,55.4,17.8,95.54,6.6
