By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE
2018-19 ,LAC,34,34.5,113.2,109.9,3.4,10.5,1.18,10.5,2.2,20.0,11.5,8.9,57.4,61.4,23.4,101.99,14.4
2017-18 ,TOT,80,33.3,107.8,109.9,-2.1,11.5,1.83,12.0,2.1,14.5,8.1,6.5,53.5,56.5,22.6,98.69,11.3
2017-18 ,LAC,32,34.5,109.1,112.3,-3.2,14.0,1.81,14.0,1.9,15.1,8.5,7.7,54.1,56.5,22.8,100.14,11.6
2017-18 ,DET,48,32.6,106.9,108.3,-1.3,9.7,1.84,10.4,2.2,14.1,7.9,5.6,53.1,56.4,22.5,97.66,11.0
2016-17 ,DET,82,31.3,105.1,105.3,-0.2,8.7,1.48,10.2,2.4,14.0,8.0,6.9,53.2,56.8,21.3,97.13,11.3
2015-16 ,TOT,76,33.1,104.4,103.7,0.7,10.6,1.56,13.3,3.8,16.6,10.1,8.5,51.4,56.0,19.2,96.35,11.6
2015-16 ,DET,27,33.5,107.1,104.1,3.0,12.9,2.33,14.4,2.7,15.8,9.2,6.2,52.4,57.7,20.1,96.38,12.7
2015-16 ,ORL,49,32.9,102.9,103.4,-0.5,9.5,1.27,12.7,4.3,17.0,10.6,10.0,50.7,55.0,18.6,96.33,11.0
2014-15 ,ORL,68,34.8,101.3,107.2,-5.9,8.8,1.08,9.6,3.1,15.4,9.2,8.9,51.2,55.1,22.2,94.94,11.3
2013-14 ,ORL,61,30.3,101.0,107.4,-6.4,7.7,1.05,8.4,4.7,18.7,11.5,8.0,48.6,54.2,21.8,94.84,11.6
2012-13 ,TOT,55,23.6,99.6,105.8,-6.2,8.7,1.05,9.7,5.3,17.0,10.9,9.3,48.8,52.7,21.6,95.42,10.4
2012-13 ,ORL,27,36.1,100.8,107.6,-6.7,9.5,1.17,10.2,5.5,18.1,11.6,8.7,48.7,52.4,22.5,94.37,11.1
2012-13 ,MIL,28,11.6,96.1,100.9,-4.8,6.3,0.72,8.2,4.7,13.3,8.6,11.3,49.1,53.8,18.9,98.56,8.4
2011-12 ,MIL,42,11.4,98.8,98.8,0.0,7.5,0.71,8.9,6.0,14.7,10.3,12.6,48.5,54.0,19.8,96.95,9.7
