By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE
2018-19 ,GSW,24,34.3,115.3,105.1,10.2,23.3,1.80,17.5,1.8,12.0,7.1,9.8,61.5,66.1,28.9,105.43,16.2
2017-18 ,GSW,51,32.0,120.1,106.9,13.2,27.2,2.03,21.4,2.4,12.4,7.9,10.6,61.8,67.5,28.9,105.50,16.5
2016-17 ,GSW,79,33.4,119.8,102.1,17.7,28.7,2.19,22.4,2.4,10.1,6.5,10.2,58.0,62.4,28.6,103.71,15.1
2015-16 ,GSW,79,34.2,117.2,99.4,17.7,31.5,2.01,20.7,2.6,11.7,7.6,10.3,63.0,66.9,31.3,103.04,19.7
2014-15 ,GSW,80,32.7,114.6,98.2,16.4,35.8,2.49,26.4,2.2,10.0,6.3,10.6,59.4,63.8,27.7,101.69,17.8
2013-14 ,GSW,78,36.5,110.3,100.4,9.9,37.2,2.27,26.9,1.6,9.7,5.8,11.9,56.6,61.0,27.5,98.58,16.4
2012-13 ,GSW,78,38.2,106.7,104.0,2.7,29.8,2.25,23.6,2.0,8.3,5.2,10.5,54.9,58.9,25.6,97.05,13.8
2011-12 ,GSW,26,28.1,106.7,101.3,5.4,29.5,2.12,26.7,2.1,9.9,6.1,12.6,58.3,60.5,22.9,96.97,13.4
2010-11 ,GSW,74,33.6,108.3,108.1,0.3,26.8,1.91,24.1,2.1,9.7,5.8,12.6,55.1,59.5,23.7,97.99,12.1
2009-10 ,GSW,80,36.2,107.1,109.9,-2.8,24.1,1.94,24.3,1.7,10.6,6.1,12.5,53.5,56.8,21.4,102.98,10.7
