By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE
2018-19 ,NOP,35,36.7,113.3,107.7,5.6,33.6,2.38,28.0,3.0,8.1,5.6,11.8,52.6,55.8,24.3,104.93,12.3
2017-18 ,NOP,81,36.1,109.0,103.6,5.4,24.3,2.28,23.8,2.2,9.5,6.0,10.4,54.3,57.0,22.4,102.86,11.8
2016-17 ,NOP,67,32.7,103.9,103.2,0.7,35.5,2.52,29.6,2.0,9.2,5.7,11.8,51.0,53.2,23.1,99.84,12.1
2015-16 ,NOP,65,28.2,106.3,105.4,0.9,36.5,2.34,24.6,1.4,9.4,5.3,10.5,48.5,52.9,28.2,99.65,12.9
2014-15 ,NOP,40,32.6,109.7,105.4,4.3,32.2,3.01,29.4,2.5,8.1,5.3,9.8,49.3,52.2,22.3,95.08,11.1
2013-14 ,NOP,34,33.6,108.3,106.6,1.7,35.8,2.55,31.4,2.4,10.2,6.3,12.3,48.0,50.5,22.3,95.69,11.4
2012-13 ,PHI,78,37.5,100.3,102.7,-2.4,35.8,2.14,27.0,3.0,8.4,5.6,12.6,46.6,49.6,26.0,93.15,11.5
2011-12 ,PHI,65,33.8,101.6,96.3,5.3,21.5,2.15,22.2,2.6,7.1,4.8,10.3,47.1,49.6,21.4,91.51,9.6
2010-11 ,PHI,82,35.4,106.4,103.5,2.9,28.2,2.44,29.0,2.5,9.5,6.0,11.9,48.7,52.5,20.3,93.88,10.5
2009-10 ,PHI,73,24.2,104.1,108.1,-4.1,23.9,1.79,28.2,3.3,8.3,5.8,15.7,50.2,52.6,17.9,94.02,7.9
