By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE
2018-19 ,MEM,33,34.1,106.4,100.4,6.0,32.3,3.66,24.6,1.5,8.6,5.1,6.7,49.0,54.7,26.2,97.12,14.6
2017-18 ,MEM,12,31.1,101.9,103.7,-1.9,23.4,2.72,18.8,0.0,7.0,3.6,6.9,45.2,52.0,25.8,96.65,10.9
2016-17 ,MEM,69,33.2,109.0,105.2,3.8,32.9,2.78,24.9,1.4,9.5,5.4,9.0,54.5,60.4,25.4,94.55,16.0
2015-16 ,MEM,56,31.4,105.1,103.8,1.3,32.4,4.07,28.1,1.5,8.2,4.8,6.9,47.8,53.8,22.4,94.34,12.9
2014-15 ,MEM,70,31.8,106.1,101.1,5.0,27.8,2.40,24.7,1.4,8.4,4.9,10.3,50.6,55.8,23.1,93.85,12.4
2013-14 ,MEM,73,33.5,106.8,103.6,3.2,29.3,2.94,25.4,1.7,7.6,4.6,8.6,50.0,54.5,23.9,91.41,13.0
2012-13 ,MEM,80,34.5,105.3,95.5,9.8,28.7,2.58,28.2,1.6,7.0,4.2,10.9,49.7,54.9,20.4,90.34,13.3
2011-12 ,MEM,62,35.1,105.1,99.1,6.0,28.9,3.23,31.6,1.1,6.6,3.8,9.8,47.7,52.3,18.1,92.10,11.5
2010-11 ,MEM,81,35.5,108.7,103.2,5.5,27.3,3.00,29.8,1.2,7.9,4.5,9.9,48.6,52.1,19.3,93.44,10.8
2009-10 ,MEM,80,32.1,108.6,108.0,0.6,24.5,2.50,28.1,1.2,6.8,3.9,11.3,49.4,52.6,18.3,95.22,8.9
2008-09 ,MEM,82,30.6,101.5,107.5,-6.0,23.9,2.48,27.0,1.1,10.8,5.9,10.9,50.3,54.8,17.5,91.72,10.9
2007-08 ,MEM,53,26.1,104.1,114.3,-10.2,24.7,2.49,27.5,1.5,8.9,5.1,11.0,46.2,50.2,18.6,97.00,8.1
