By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE
2018-19 ,OKC,25,34.3,112.5,102.6,9.9,41.4,2.25,28.6,3.8,25.7,14.4,12.8,45.3,48.1,29.3,105.77,15.8
2017-18 ,OKC,80,36.4,111.7,105.3,6.4,46.4,2.15,26.3,4.8,22.6,13.3,12.2,47.7,52.4,32.5,100.00,18.6
2016-17 ,OKC,81,34.6,110.0,105.4,4.7,54.3,1.92,23.5,4.6,25.1,14.7,12.3,47.6,55.4,40.0,100.97,23.0
2015-16 ,OKC,80,34.4,114.4,102.9,11.5,46.8,2.44,29.0,5.4,16.0,10.9,11.9,48.9,55.4,31.0,99.34,18.8
2014-15 ,OKC,67,34.4,110.5,105.6,4.9,43.0,1.96,21.9,5.1,15.1,10.1,11.2,45.5,53.6,36.6,99.74,18.7
2013-14 ,OKC,46,30.7,111.7,104.2,7.4,38.0,1.80,22.5,4.1,13.6,9.2,12.5,48.0,54.5,32.8,100.07,16.1
2012-13 ,OKC,82,34.9,112.0,100.7,11.3,37.2,2.22,22.7,4.3,10.4,7.6,10.2,47.0,53.2,32.1,95.87,15.5
2011-12 ,OKC,66,35.3,108.7,101.0,7.7,28.4,1.51,17.6,4.4,8.2,6.4,11.6,48.1,53.8,31.7,95.87,14.5
2010-11 ,OKC,82,34.7,108.4,106.2,2.2,42.2,2.12,25.1,4.5,9.1,6.8,11.9,45.4,53.8,31.0,95.76,15.4
2009-10 ,OKC,82,34.3,108.5,104.1,4.4,36.7,2.43,28.8,5.2,9.1,7.2,11.8,42.8,49.1,24.9,95.94,12.0
2008-09 ,OKC,82,32.5,101.3,106.3,-4.9,27.3,1.59,21.8,6.7,8.5,7.6,13.7,41.4,48.9,25.2,96.56,10.1
