By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE
2018-19 ,LAC,33,31.3,113.4,111.4,1.9,11.5,1.75,12.4,3.0,15.7,9.6,7.1,55.6,63.7,22.4,100.92,13.7
2017-18 ,LAC,21,32.0,104.1,103.1,0.9,9.7,1.58,11.3,1.3,13.3,7.3,7.2,46.9,54.5,20.4,98.71,10.3
2016-17 ,DEN,63,33.9,113.2,110.0,3.3,9.0,1.65,11.9,1.8,13.0,7.5,7.2,53.1,62.2,19.7,99.80,11.4
2015-16 ,DEN,53,34.7,104.7,107.3,-2.6,12.2,1.75,12.2,2.7,12.7,7.5,7.0,47.2,58.2,22.5,97.63,12.4
2014-15 ,DEN,59,24.2,105.1,103.8,1.3,9.4,1.46,10.5,2.0,13.0,7.3,7.2,49.6,56.3,21.3,98.52,11.3
2012-13 ,DEN,71,32.5,109.6,102.4,7.3,11.3,1.59,13.5,2.8,13.0,8.0,8.5,49.5,56.1,20.9,96.66,11.3
2011-12 ,DEN,43,31.4,108.0,100.1,7.8,13.1,1.71,15.5,2.3,12.8,7.8,9.1,47.9,56.3,20.6,96.10,11.1
2010-11 ,TOT,62,33.9,108.2,106.4,1.8,7.4,1.25,10.4,2.9,11.9,7.4,8.3,49.5,59.7,18.7,98.17,9.8
2010-11 ,DEN,14,30.9,101.6,96.7,4.9,8.0,0.88,10.0,2.5,14.8,8.7,11.3,48.9,58.7,20.1,97.98,11.7
2010-11 ,NYK,48,34.8,109.9,108.9,1.0,7.2,1.41,10.5,3.0,11.1,7.1,7.4,49.6,60.0,18.3,98.21,9.4
2009-10 ,NYK,81,33.9,106.1,108.5,-2.4,7.7,1.23,10.4,2.4,12.7,7.5,8.4,52.3,57.5,19.0,95.63,9.4
2008-09 ,NYK,28,14.7,109.6,103.9,5.7,5.4,1.00,9.0,3.1,10.3,6.6,9.0,57.6,62.1,15.7,99.79,8.0
