By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE
2018-19 ,TOT,28,33.4,109.3,108.6,0.7,16.5,2.44,16.3,5.0,9.3,7.1,6.7,52.4,58.1,22.8,102.16,13.2
2018-19 ,PHI,18,31.9,112.3,106.1,6.2,14.7,2.11,15.2,5.7,9.0,7.4,7.2,52.4,58.3,23.1,102.02,12.9
2018-19 ,MIN,10,36.1,104.5,112.6,-8.1,19.8,3.07,17.8,3.9,9.8,6.7,5.8,52.5,57.9,22.3,102.38,13.8
2017-18 ,MIN,59,36.7,114.0,105.6,8.4,20.4,2.67,19.3,3.8,11.2,7.5,7.2,51.2,59.0,24.3,96.40,15.1
2016-17 ,CHI,76,37.0,107.5,104.3,3.2,24.3,2.62,19.7,4.4,11.8,8.1,7.5,49.2,58.6,26.0,96.88,16.4
2015-16 ,CHI,67,36.9,104.0,104.0,-0.1,21.8,2.43,18.9,3.1,10.3,6.8,7.8,48.5,56.2,24.2,96.84,14.1
2014-15 ,CHI,65,38.7,107.1,102.3,4.7,14.2,2.28,14.9,4.5,9.9,7.3,6.5,50.2,58.3,21.3,94.44,13.8
2013-14 ,CHI,67,38.7,102.6,98.6,4.1,11.0,1.72,15.5,3.4,9.5,6.5,9.1,44.6,52.2,16.7,91.37,9.5
2012-13 ,CHI,82,26.0,102.2,100.3,1.9,8.8,1.85,14.6,6.4,9.2,7.7,7.8,50.6,57.4,14.3,91.27,10.6
2011-12 ,CHI,42,8.5,102.2,90.9,11.3,6.1,1.00,10.5,6.1,8.5,7.3,10.5,41.8,52.6,14.1,92.38,8.4
