By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE
2018-19 ,CLE,4,33.9,104.8,116.8,-12.0,14.7,1.40,13.7,6.2,31.9,18.1,9.8,37.7,47.8,25.1,103.42,11.9
2017-18 ,CLE,59,28.0,111.9,110.1,1.9,9.9,1.14,9.9,6.5,27.4,17.2,8.7,55.2,61.4,24.6,99.65,15.0
2016-17 ,CLE,60,31.4,114.8,106.1,8.6,9.3,0.95,9.4,7.7,26.7,17.2,9.9,51.0,57.3,25.2,98.96,14.8
2015-16 ,CLE,77,31.5,111.8,102.7,9.0,11.9,1.30,12.8,6.4,25.8,16.2,9.8,49.9,55.3,23.2,94.44,14.3
2014-15 ,CLE,75,33.8,110.7,102.7,8.0,10.4,1.38,12.1,5.8,23.5,14.8,8.8,50.9,56.2,21.4,94.36,13.5
2013-14 ,MIN,77,36.3,110.1,104.3,5.8,20.5,1.74,15.3,7.6,26.7,16.8,8.8,52.4,59.1,28.0,100.77,19.1
2012-13 ,MIN,18,34.3,101.4,101.7,-0.3,11.7,1.08,9.4,9.4,30.6,19.4,8.7,38.6,45.8,27.2,96.08,14.4
2011-12 ,MIN,55,39.0,105.1,104.5,0.7,9.8,0.87,7.4,10.2,23.6,16.8,8.5,49.7,56.8,28.1,95.24,17.6
2010-11 ,MIN,73,35.8,103.9,108.6,-4.7,11.6,1.19,11.6,12.1,30.0,20.8,9.8,51.3,59.3,22.4,98.44,18.4
2009-10 ,MIN,60,28.6,101.4,107.6,-6.3,12.7,1.16,13.3,12.9,25.5,19.0,11.4,47.8,54.9,21.5,99.94,14.6
2008-09 ,MIN,81,25.3,102.6,108.7,-6.1,7.0,0.71,8.0,12.8,23.9,18.0,11.3,46.1,53.8,20.2,95.16,12.5
