By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE
2018-19 ,SAS,35,32.1,110.0,112.1,-2.1,10.5,1.17,10.0,9.4,19.2,14.3,8.5,49.1,54.2,26.2,98.70,12.7
2017-18 ,SAS,75,33.4,107.8,102.6,5.2,11.1,1.37,8.6,9.8,15.6,12.7,6.3,52.0,57.0,28.6,95.35,15.9
2016-17 ,SAS,72,32.4,109.9,103.4,6.4,10.0,1.42,9.8,7.6,15.3,11.5,6.9,48.8,53.2,24.6,93.96,12.2
2015-16 ,SAS,74,30.6,108.9,97.0,11.8,8.1,1.11,7.9,8.4,19.9,14.4,7.1,51.3,56.5,25.6,95.02,15.1
2014-15 ,POR,71,35.4,109.7,103.0,6.7,8.9,1.02,6.8,6.9,20.9,14.0,6.7,47.9,52.8,29.7,95.52,15.6
2013-14 ,POR,69,36.2,111.5,104.2,7.4,12.8,1.45,9.4,6.5,22.9,14.8,6.5,45.9,50.7,29.5,96.39,15.5
2012-13 ,POR,74,37.7,105.3,106.1,-0.8,12.5,1.34,10.6,6.4,18.7,12.4,7.9,48.5,53.0,26.0,93.04,13.5
2011-12 ,POR,55,36.3,105.5,101.6,3.8,12.8,1.21,10.2,7.7,15.4,11.5,8.5,51.3,56.0,26.8,92.48,14.8
2010-11 ,POR,81,39.6,108.6,103.8,4.8,9.9,1.11,8.8,9.2,15.2,12.1,7.9,50.1,54.9,25.6,89.17,14.1
2009-10 ,POR,78,37.5,109.6,104.6,5.0,9.9,1.54,10.2,7.2,16.4,11.8,6.6,49.7,53.5,22.8,88.63,12.6
2008-09 ,POR,81,37.1,113.2,104.3,8.9,9.1,1.30,9.4,8.3,13.9,11.0,7.2,48.6,52.9,23.3,88.68,12.0
2007-08 ,POR,76,34.9,106.0,105.8,0.2,8.6,0.97,7.9,8.7,14.2,11.4,8.2,48.4,52.3,25.1,89.61,11.6
2006-07 ,POR,63,22.1,104.1,104.8,-0.7,3.0,0.56,4.0,10.9,13.8,12.3,7.2,50.3,53.3,18.7,91.83,8.9
