By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE
2018-19 ,MIN,31,29.5,111.0,109.0,1.9,24.8,2.64,20.6,2.1,6.8,4.5,7.8,53.9,57.4,25.0,102.91,13.0
2017-18 ,TOT,25,16.8,106.2,113.1,-7.0,13.6,1.06,13.2,3.3,5.3,4.3,12.5,45.4,50.7,24.1,103.56,6.8
2017-18 ,MIN,9,12.4,107.7,112.5,-4.8,15.1,1.57,14.9,2.8,2.7,2.8,9.5,43.5,46.3,23.7,100.19,7.0
2017-18 ,CLE,16,19.2,105.6,113.3,-7.7,13.0,0.93,12.6,3.4,6.2,4.8,13.6,46.2,52.3,24.3,104.78,6.8
2016-17 ,NYK,64,32.5,108.4,112.4,-4.0,21.6,1.93,18.6,3.0,8.2,5.6,9.7,47.7,53.0,25.3,98.07,11.2
2015-16 ,CHI,66,31.8,102.5,106.3,-3.8,25.0,1.78,19.3,2.1,7.8,5.0,10.9,44.8,47.9,26.5,98.45,9.4
2014-15 ,CHI,51,30.0,105.5,101.6,4.0,28.9,1.56,18.9,2.2,7.5,5.0,12.1,45.0,49.3,30.4,96.87,10.6
2013-14 ,CHI,10,31.1,97.7,103.7,-6.0,25.7,1.26,16.9,2.7,6.8,4.8,13.3,40.2,44.6,28.7,95.34,7.3
2011-12 ,CHI,39,35.2,108.9,98.5,10.4,37.9,2.58,25.1,1.9,7.3,4.7,9.7,47.3,53.2,29.5,91.92,15.2
2010-11 ,CHI,81,37.4,109.0,100.2,8.7,37.2,2.24,22.8,2.8,8.2,5.6,10.2,48.5,55.0,31.3,92.35,16.5
2009-10 ,CHI,78,36.8,102.7,103.2,-0.4,29.7,2.16,21.2,2.3,7.6,5.0,9.8,49.5,53.2,26.7,94.88,13.7
2008-09 ,CHI,81,37.0,106.5,108.2,-1.7,28.3,2.53,25.2,3.3,7.6,5.4,10.0,48.2,51.6,22.2,94.98,11.3
