By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE
2018-19 ,LAL,34,34.7,107.7,104.6,3.2,33.7,2.09,21.6,2.7,19.1,11.2,10.3,57.0,60.1,30.6,104.68,19.6
2017-18 ,CLE,82,36.9,113.1,111.5,1.6,43.2,2.15,25.8,3.3,20.1,11.9,12.0,59.0,62.1,30.8,99.69,19.1
2016-17 ,CLE,74,37.8,115.9,107.8,8.1,38.8,2.13,25.7,3.6,18.9,11.4,12.1,59.4,61.9,29.0,97.66,18.3
2015-16 ,CLE,76,35.6,113.5,102.0,11.5,33.9,2.06,21.6,4.2,16.7,10.6,10.5,55.1,58.8,30.4,95.06,18.9
2014-15 ,CLE,69,36.1,113.1,102.2,11.0,36.6,1.88,22.4,2.2,14.7,8.6,11.9,53.5,57.7,31.6,94.64,17.1
2013-14 ,MIA,77,37.7,111.9,104.7,7.2,31.1,1.81,20.7,3.4,16.5,10.4,11.5,61.0,64.9,30.3,93.27,20.0
2012-13 ,MIA,76,37.9,114.1,101.6,12.4,34.4,2.44,23.3,3.9,18.0,11.5,9.6,60.3,64.0,29.3,92.49,22.1
2011-12 ,MIA,62,37.5,108.3,98.1,10.2,31.8,1.82,19.5,4.4,17.1,11.1,10.7,55.4,60.5,31.0,93.68,22.0
2010-11 ,MIA,79,38.8,111.2,101.1,10.1,34.3,1.95,21.3,2.9,16.3,10.1,10.9,54.1,59.4,30.6,92.76,20.1
2009-10 ,CLE,76,39.0,113.8,102.7,11.1,39.8,2.49,23.5,2.7,16.5,9.9,9.4,54.5,60.4,32.7,92.78,21.8
2008-09 ,CLE,81,37.7,113.8,99.1,14.8,36.5,2.44,21.2,3.7,16.8,10.4,8.7,53.0,59.1,32.9,90.67,22.6
2007-08 ,CLE,75,40.4,106.9,105.0,1.9,35.2,2.11,19.5,4.3,15.8,9.9,9.2,51.8,56.8,32.7,92.48,19.9
2006-07 ,CLE,78,40.9,105.3,99.6,5.7,28.1,1.88,17.9,2.6,14.7,8.4,9.5,50.7,55.2,30.2,92.19,18.1
2005-06 ,CLE,79,42.5,108.0,104.0,4.0,31.5,2.00,17.7,2.3,15.0,8.6,8.9,51.5,56.8,32.9,91.50,19.2
2004-05 ,CLE,80,42.3,106.0,103.8,2.2,32.4,2.20,20.7,3.3,14.7,8.9,9.4,50.4,55.4,29.2,91.23,19.0
2003-04 ,CLE,79,39.6,101.1,103.1,-1.9,26.8,1.70,19.2,3.1,10.4,6.7,11.3,43.8,48.8,27.6,93.31,12.3
