By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
2018-19 ,HOU,30,36.7,32.3,9.6,21.7,44.5,4.3,11.5,37.6,8.7,10.2,85.0,0.7,5.0,5.7,8.4,5.3,2.1,0.5,3.4,54.1,11,3,0.8
2017-18 ,HOU,72,35.4,30.4,9.0,20.1,44.9,3.7,10.0,36.7,8.7,10.1,85.8,0.6,4.8,5.4,8.8,4.4,1.8,0.7,2.3,53.0,31,4,7.3
2016-17 ,HOU,81,36.4,29.1,8.3,18.9,44.0,3.2,9.3,34.7,9.2,10.9,84.7,1.2,7.0,8.1,11.2,5.7,1.5,0.5,2.7,55.8,64,22,5.2
2015-16 ,HOU,82,38.1,29.0,8.7,19.7,43.9,2.9,8.0,35.9,8.8,10.2,86.0,0.8,5.3,6.1,7.5,4.6,1.7,0.6,2.8,49.9,23,3,1.5
2014-15 ,HOU,81,36.8,27.4,8.0,18.1,44.0,2.6,6.9,37.5,8.8,10.2,86.8,0.9,4.7,5.7,7.0,4.0,1.9,0.7,2.6,48.6,21,4,4.1
2013-14 ,HOU,73,38.0,25.4,7.5,16.5,45.6,2.4,6.6,36.6,7.9,9.1,86.6,0.8,3.9,4.7,6.1,3.6,1.6,0.4,2.4,42.5,14,1,5.6
2012-13 ,HOU,78,38.3,25.9,7.5,17.1,43.8,2.3,6.2,36.8,8.6,10.2,85.1,0.8,4.1,4.9,5.8,3.8,1.8,0.5,2.3,43.7,9,1,2.5
2011-12 ,OKC,62,31.4,16.8,5.0,10.1,49.1,1.8,4.7,39.0,5.0,6.0,84.6,0.5,3.6,4.1,3.7,2.2,1.0,0.2,2.4,28.8,0,0,5.9
2010-11 ,OKC,82,26.7,12.2,3.6,8.3,43.6,1.4,4.0,34.9,3.5,4.2,84.3,0.5,2.6,3.1,2.1,1.3,1.1,0.3,2.5,22.1,0,0,2.5
2009-10 ,OKC,76,22.9,9.9,3.1,7.6,40.3,1.2,3.3,37.5,2.6,3.2,80.8,0.6,2.6,3.2,1.8,1.4,1.1,0.3,2.6,19.0,0,0,2.4
