By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
2018-19 ,GSW,35,35.8,28.8,9.8,19.5,50.5,1.8,5.0,36.6,7.3,7.9,92.8,0.5,7.3,7.8,6.1,3.4,0.9,1.0,2.0,49.6,11,1,6.3
2017-18 ,GSW,68,34.2,26.4,9.3,18.0,51.6,2.5,6.1,41.9,5.3,5.9,88.9,0.5,6.4,6.8,5.4,3.0,0.7,1.8,2.0,47.0,15,2,5.2
2016-17 ,GSW,62,33.4,25.1,8.9,16.5,53.7,1.9,5.0,37.5,5.4,6.2,87.5,0.6,7.6,8.3,4.8,2.2,1.1,1.6,1.9,48.0,23,1,11.5
2015-16 ,OKC,72,35.8,28.2,9.7,19.2,50.5,2.6,6.7,38.7,6.2,6.9,89.8,0.6,7.6,8.2,5.0,3.5,1.0,1.2,1.9,48.5,27,1,9.0
2014-15 ,OKC,27,33.8,25.4,8.8,17.3,51.0,2.4,5.9,40.3,5.4,6.3,85.4,0.6,6.0,6.6,4.1,2.7,0.9,0.9,1.5,42.1,5,0,6.2
2013-14 ,OKC,81,38.5,32.0,10.5,20.8,50.3,2.4,6.1,39.1,8.7,9.9,87.3,0.7,6.7,7.4,5.5,3.5,1.3,0.7,2.1,51.6,27,3,6.3
2012-13 ,OKC,81,38.5,28.1,9.0,17.7,51.0,1.7,4.1,41.6,8.4,9.3,90.5,0.6,7.3,7.9,4.6,3.5,1.4,1.3,1.8,49.3,19,3,8.9
2011-12 ,OKC,66,38.6,28.0,9.7,19.7,49.6,2.0,5.2,38.7,6.5,7.6,86.0,0.6,7.4,8.0,3.5,3.8,1.3,1.2,2.0,46.6,18,0,5.6
2010-11 ,OKC,78,38.9,27.7,9.1,19.7,46.2,1.9,5.3,35.0,7.6,8.7,88.0,0.7,6.1,6.8,2.7,2.8,1.1,1.0,2.0,43.5,14,0,3.4
2009-10 ,OKC,82,39.5,30.1,9.7,20.3,47.6,1.6,4.3,36.5,9.2,10.2,90.0,1.3,6.3,7.6,2.8,3.3,1.4,1.0,2.1,47.4,25,0,5.3
2008-09 ,OKC,74,39.0,25.3,8.9,18.8,47.6,1.3,3.1,42.2,6.1,7.1,86.3,1.0,5.5,6.5,2.8,3.0,1.3,0.7,1.8,40.3,15,0,-6.8
2007-08 ,SEA,80,34.6,20.3,7.3,17.1,43.0,0.7,2.6,28.8,4.9,5.6,87.3,0.9,3.5,4.4,2.4,2.9,1.0,0.9,1.5,32.0,1,0,-8.2
