By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
2018-19 ,SAS,35,35.0,23.3,8.9,18.4,48.1,0.2,1.1,17.9,5.4,6.4,84.0,0.7,4.9,5.7,6.2,2.4,0.9,0.5,2.2,41.3,4,0,-0.8
2017-18 ,TOR,80,33.9,23.0,8.1,17.7,45.6,1.1,3.6,31.0,5.8,7.0,82.5,0.7,3.2,3.9,5.2,2.2,1.1,0.3,1.9,37.4,0,0,5.5
2016-17 ,TOR,74,35.4,27.3,9.7,20.9,46.7,0.4,1.7,26.6,7.4,8.7,84.2,0.9,4.3,5.2,3.9,2.4,1.1,0.2,1.8,40.7,5,0,2.0
2015-16 ,TOR,78,35.9,23.5,7.9,17.7,44.6,0.6,1.8,33.8,7.1,8.4,85.0,0.8,3.7,4.5,4.0,2.2,1.0,0.3,2.1,36.6,3,0,2.2
2014-15 ,TOR,60,35.0,20.1,6.8,16.5,41.3,0.4,1.5,28.4,6.0,7.2,83.2,0.7,3.9,4.6,3.5,2.3,1.2,0.2,2.0,32.8,4,0,2.2
2013-14 ,TOR,79,38.2,22.7,7.6,17.8,42.9,0.8,2.7,30.5,6.6,8.0,82.4,0.6,3.7,4.3,4.0,2.2,1.1,0.4,2.5,35.9,2,0,2.3
2012-13 ,TOR,82,36.7,18.1,6.7,15.0,44.5,0.4,1.5,28.3,4.3,5.2,83.1,0.6,3.3,3.9,2.5,1.8,0.9,0.3,2.1,28.3,0,0,-1.4
2011-12 ,TOR,63,35.0,16.7,6.0,14.3,42.2,0.4,1.5,26.1,4.3,5.3,81.0,0.6,2.7,3.3,2.0,2.0,0.8,0.3,2.6,24.9,0,0,-1.5
2010-11 ,TOR,82,34.8,17.2,6.6,14.1,46.7,0.1,0.6,9.6,4.0,4.9,81.3,0.9,2.9,3.8,1.8,1.8,1.0,0.4,2.6,27.0,1,0,-5.0
2009-10 ,TOR,77,21.6,8.6,3.3,6.6,49.8,0.1,0.2,25.0,1.9,2.5,76.3,0.9,2.0,2.9,0.7,0.8,0.6,0.2,2.3,14.7,0,0,-3.0
