By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
2018-19 ,DET,31,35.9,25.2,8.5,18.1,46.9,2.3,6.4,36.0,5.9,8.1,73.0,1.3,7.6,8.9,5.2,3.8,0.7,0.5,2.8,43.4,14,1,0.3
2017-18 ,TOT,58,34.0,21.4,7.5,17.2,43.8,1.9,5.6,34.5,4.5,5.7,78.5,1.3,6.1,7.4,5.8,2.8,0.7,0.3,2.4,39.1,16,3,1.0
2017-18 ,DET,25,33.2,19.8,7.2,16.7,43.3,1.9,5.4,34.8,3.5,4.4,78.4,1.1,5.6,6.6,6.2,2.6,0.4,0.4,2.4,36.9,5,1,1.4
2017-18 ,LAC,33,34.5,22.6,7.7,17.5,44.1,1.9,5.7,34.2,5.2,6.6,78.5,1.4,6.5,7.9,5.4,3.0,0.9,0.3,2.4,40.7,11,2,0.7
2016-17 ,LAC,61,34.0,21.6,7.9,15.9,49.3,0.6,1.9,33.6,5.2,6.9,76.0,1.8,6.3,8.1,4.9,2.3,0.9,0.4,2.6,40.3,19,1,7.2
2015-16 ,LAC,35,33.4,21.4,8.6,17.2,49.9,0.2,0.5,33.3,4.0,5.5,72.7,1.5,6.9,8.4,4.9,2.4,0.8,0.5,2.7,40.3,13,0,5.1
2014-15 ,LAC,67,35.2,21.9,8.6,17.1,50.2,0.1,0.4,40.0,4.6,6.4,72.8,1.9,5.7,7.6,5.3,2.3,0.9,0.5,2.9,41.1,18,0,8.7
2013-14 ,LAC,80,35.8,24.1,9.0,17.0,52.8,0.2,0.6,27.3,6.0,8.4,71.5,2.4,7.1,9.5,3.9,2.8,1.2,0.6,3.3,43.8,43,1,7.1
2012-13 ,LAC,80,32.5,18.0,7.2,13.4,53.8,0.1,0.4,17.9,3.5,5.3,66.0,2.3,6.0,8.3,3.7,2.3,1.2,0.6,2.9,36.7,28,1,4.8
2011-12 ,LAC,66,36.2,20.7,8.5,15.5,54.9,0.0,0.2,12.5,3.7,7.1,52.1,3.3,7.6,10.9,3.2,2.3,0.8,0.7,3.3,40.9,41,0,5.1
2010-11 ,LAC,82,37.9,22.5,8.5,16.8,50.6,0.1,0.3,29.2,5.4,8.5,64.2,3.3,8.8,12.1,3.8,2.7,0.8,0.5,3.1,43.9,63,2,-1.8
