By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
2018-19 ,MEM,33,34.1,20.3,6.8,16.3,42.0,2.3,6.3,35.9,4.4,5.2,84.2,0.5,2.8,3.4,6.5,1.8,1.2,0.5,1.7,37.5,4,0,3.9
2017-18 ,MEM,12,31.1,17.1,5.3,14.0,38.1,2.0,6.4,31.2,4.4,5.5,80.3,0.0,2.3,2.3,4.1,1.5,1.0,0.3,2.0,28.2,0,0,-1.4
2016-17 ,MEM,69,33.2,20.5,6.7,14.6,46.0,2.5,6.1,40.8,4.6,5.3,85.9,0.4,3.0,3.5,6.3,2.3,1.3,0.3,1.8,36.7,8,0,2.7
2015-16 ,MEM,56,31.4,15.3,5.3,12.4,42.2,1.4,3.8,36.3,3.4,4.1,83.4,0.5,2.5,2.9,6.1,1.5,1.2,0.3,1.8,30.9,4,0,1.2
2014-15 ,MEM,70,31.8,15.8,5.6,12.6,44.6,1.5,4.0,38.6,3.1,3.6,85.9,0.4,2.6,3.0,5.4,2.2,1.3,0.2,2.0,29.6,6,0,3.1
2013-14 ,MEM,73,33.5,17.2,6.3,14.1,45.0,1.4,4.0,36.1,3.1,3.8,81.5,0.6,2.4,2.9,6.0,2.1,1.5,0.2,1.9,32.8,5,0,2.1
2012-13 ,MEM,80,34.5,14.6,5.2,11.8,44.0,1.3,3.7,36.2,2.9,3.5,83.0,0.5,2.3,2.8,6.1,2.4,2.2,0.3,2.1,32.2,7,0,6.3
2011-12 ,MEM,62,35.1,12.7,4.8,11.0,43.3,1.0,2.6,37.7,2.2,2.5,86.1,0.4,2.2,2.5,6.5,2.0,2.2,0.2,2.1,30.6,8,0,4.2
2010-11 ,MEM,81,35.5,13.7,5.2,11.8,44.4,1.0,2.7,36.9,2.2,3.0,73.3,0.4,2.7,3.0,6.5,2.2,1.8,0.2,2.2,30.9,7,0,3.7
2009-10 ,MEM,80,32.1,12.0,4.6,10.4,44.5,1.0,2.7,38.7,1.7,2.3,74.3,0.4,2.0,2.4,5.3,2.1,1.4,0.2,2.2,25.2,4,0,0.4
2008-09 ,MEM,82,30.6,10.9,3.9,8.9,44.2,1.1,2.6,40.6,2.0,2.4,81.7,0.3,3.1,3.4,4.3,1.7,1.1,0.1,1.8,23.3,2,0,-3.5
2007-08 ,MEM,53,26.1,9.4,3.6,8.3,42.8,0.6,1.7,33.0,1.7,2.3,73.2,0.4,2.2,2.6,4.2,1.7,0.8,0.0,1.6,19.8,2,0,-5.4
