By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
2018-19 ,LAC,33,31.3,19.5,5.9,12.8,46.0,2.5,5.3,46.6,5.3,5.8,92.1,0.9,5.2,6.1,2.3,1.3,0.7,0.3,2.1,31.9,3,0,1.0
2017-18 ,LAC,21,32.0,15.3,4.9,12.2,39.8,1.7,5.3,32.4,3.9,4.1,93.1,0.4,4.4,4.8,2.0,1.2,0.6,0.5,1.4,26.0,0,0,0.5
2016-17 ,DEN,63,33.9,18.2,5.3,11.9,44.7,2.0,5.1,38.9,5.5,6.1,90.2,0.6,4.5,5.2,2.1,1.3,0.6,0.2,1.5,28.9,4,0,2.5
2015-16 ,DEN,53,34.7,19.5,5.4,13.2,41.0,1.6,4.5,36.4,7.1,8.2,86.8,1.0,4.3,5.3,2.5,1.5,0.8,0.4,1.6,31.7,3,0,-1.9
2014-15 ,DEN,59,24.2,12.4,3.9,9.6,40.1,1.8,5.1,35.5,2.9,3.2,89.5,0.5,3.2,3.7,1.4,1.0,0.8,0.3,1.6,21.4,0,0,0.3
2012-13 ,DEN,71,32.5,16.2,5.1,12.3,41.8,1.9,5.1,37.3,4.0,4.9,82.2,0.9,4.3,5.2,2.5,1.6,0.9,0.5,1.8,28.8,2,0,4.7
2011-12 ,DEN,43,31.4,14.6,4.5,10.8,41.4,1.4,4.3,32.8,4.2,4.9,87.1,0.7,4.0,4.7,2.7,1.6,1.0,0.5,2.0,27.2,2,0,5.1
2010-11 ,TOT,62,33.9,15.6,4.3,10.3,41.4,1.7,4.7,35.2,5.4,6.3,86.2,1.0,4.0,4.9,1.7,1.3,0.8,0.4,2.3,26.5,2,0,1.1
2010-11 ,DEN,14,30.9,14.7,3.9,9.4,41.2,1.4,3.9,37.0,5.6,7.2,77.2,0.8,4.6,5.4,1.6,1.8,0.9,0.6,1.9,26.5,0,0,3.6
2010-11 ,NYK,48,34.8,15.9,4.4,10.6,41.5,1.7,5.0,34.7,5.4,6.0,89.3,1.0,3.8,4.8,1.7,1.2,0.8,0.4,2.4,26.5,2,0,0.4
2009-10 ,NYK,81,33.9,15.1,4.8,11.4,42.3,2.3,6.0,38.1,3.1,3.8,81.8,0.8,4.1,4.9,1.7,1.4,0.9,0.7,2.4,27.0,5,0,-1.6
2008-09 ,NYK,28,14.7,6.1,2.0,4.5,44.8,1.1,2.6,44.4,0.9,1.0,96.3,0.5,1.5,2.0,0.5,0.5,0.5,0.1,1.7,10.6,0,0,1.8
