By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
2018-19 ,TOT,28,33.4,19.7,7.0,14.7,47.4,1.5,3.8,39.0,4.3,5.1,83.9,1.7,3.3,5.0,3.6,1.5,2.1,0.7,1.8,38.0,2,0,0.3
2018-19 ,PHI,18,31.9,18.8,6.7,14.1,47.6,1.3,3.3,40.0,4.0,4.6,87.8,1.8,3.1,4.9,3.2,1.5,1.9,0.6,1.8,35.4,2,0,3.8
2018-19 ,MIN,10,36.1,21.3,7.4,15.7,47.1,1.7,4.5,37.8,4.8,6.1,78.7,1.6,3.6,5.2,4.3,1.4,2.4,1.0,1.8,42.8,0,0,-6.1
2017-18 ,MIN,59,36.7,22.2,7.4,15.6,47.4,1.2,3.4,35.0,6.2,7.2,85.4,1.3,4.0,5.3,4.9,1.8,2.0,0.4,1.3,41.1,3,0,6.3
2016-17 ,CHI,76,37.0,23.9,7.5,16.5,45.5,1.2,3.3,36.7,7.7,8.9,86.5,1.7,4.5,6.2,5.5,2.1,1.9,0.4,1.5,44.4,15,2,2.7
2015-16 ,CHI,67,36.9,20.9,7.0,15.4,45.4,1.0,3.1,31.2,5.9,7.1,83.2,1.2,4.2,5.3,4.8,2.0,1.6,0.6,1.9,39.4,10,2,-0.2
2014-15 ,CHI,65,38.7,20.0,6.5,14.0,46.2,1.1,3.0,37.8,5.9,7.1,83.4,1.8,4.1,5.8,3.3,1.4,1.8,0.6,1.7,37.4,4,0,3.7
2013-14 ,CHI,67,38.7,13.1,4.1,10.3,39.7,1.0,3.6,28.3,3.9,5.0,76.9,1.3,3.6,4.9,2.6,1.5,1.9,0.5,1.6,28.7,5,0,2.8
2012-13 ,CHI,82,26.0,8.6,2.9,6.2,46.7,0.5,1.3,38.1,2.3,2.8,80.3,1.7,2.3,4.0,1.4,0.8,1.0,0.4,1.2,18.7,4,0,0.7
2011-12 ,CHI,42,8.5,2.6,0.8,1.9,40.5,0.0,0.3,18.2,1.0,1.3,76.8,0.5,0.8,1.3,0.3,0.3,0.3,0.1,0.5,5.5,0,0,1.9
