By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
2018-19 ,CLE,4,33.9,19.0,5.3,16.3,32.3,1.8,6.0,29.2,6.8,8.3,81.8,2.5,11.0,13.5,3.5,2.5,0.3,0.3,3.5,39.5,3,0,-8.5
2017-18 ,CLE,59,28.0,17.6,5.7,12.4,45.8,2.3,5.6,41.5,4.0,4.5,88.0,1.7,7.5,9.3,1.7,1.5,0.7,0.4,2.0,33.2,31,0,1.3
2016-17 ,CLE,60,31.4,19.0,6.2,14.5,42.7,2.4,6.5,37.3,4.3,4.9,87.1,2.5,8.6,11.1,1.9,2.0,0.9,0.4,2.1,36.9,41,0,5.6
2015-16 ,CLE,77,31.5,16.0,5.3,12.7,41.9,2.1,5.7,36.0,3.4,4.1,82.2,1.9,8.0,9.9,2.4,1.8,0.8,0.5,2.1,33.5,35,0,5.6
2014-15 ,CLE,75,33.8,16.4,5.5,12.7,43.4,1.9,5.2,36.7,3.4,4.3,80.4,1.9,7.9,9.7,2.2,1.6,0.7,0.5,1.9,33.4,38,0,5.3
2013-14 ,MIN,77,36.3,26.1,8.4,18.5,45.7,2.5,6.6,37.6,6.8,8.2,82.1,2.9,9.6,12.5,4.4,2.5,0.8,0.5,1.8,48.9,65,3,4.6
2012-13 ,MIN,18,34.3,18.3,5.8,16.6,35.2,1.1,5.1,21.7,5.6,7.9,70.4,3.6,10.4,14.0,2.3,2.2,0.7,0.5,1.9,40.1,14,0,0.1
2011-12 ,MIN,55,39.0,26.0,8.6,19.3,44.8,1.9,5.1,37.2,6.9,8.4,82.4,4.1,9.2,13.3,2.0,2.3,0.9,0.5,2.8,46.8,48,0,0.5
2010-11 ,MIN,73,35.8,20.2,6.6,14.1,47.0,1.2,2.9,41.7,5.8,6.8,85.0,4.5,10.7,15.2,2.5,2.1,0.6,0.4,2.0,43.2,64,0,-3.7
2009-10 ,MIN,60,28.6,14.0,4.9,10.8,45.0,0.6,1.8,33.0,3.8,4.6,81.5,3.8,7.2,11.0,2.3,2.0,0.7,0.4,2.3,31.9,36,0,-3.8
2008-09 ,MIN,81,25.3,11.1,3.9,8.5,45.9,0.0,0.2,10.5,3.3,4.1,78.9,3.4,5.7,9.1,1.0,1.5,0.4,0.6,2.5,25.2,29,0,-3.3
