By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
2018-19 ,SAS,35,32.1,18.9,7.5,15.4,48.9,0.1,0.4,15.4,3.7,4.5,82.8,3.0,6.2,9.1,2.1,1.8,0.5,1.1,2.1,36.1,12,0,-1.1
2017-18 ,SAS,75,33.4,23.1,9.2,18.0,51.0,0.4,1.2,29.3,4.5,5.3,83.7,3.3,5.2,8.5,2.0,1.5,0.6,1.2,2.1,40.2,27,0,3.7
2016-17 ,SAS,72,32.4,17.3,6.9,14.6,47.7,0.3,0.8,41.1,3.1,3.8,81.2,2.4,4.9,7.3,1.9,1.4,0.6,1.2,2.2,33.1,18,0,3.8
2015-16 ,SAS,74,30.6,18.0,7.2,14.1,51.3,0.0,0.2,0.0,3.5,4.1,85.8,2.4,6.2,8.5,1.5,1.3,0.5,1.1,2.0,34.0,26,0,6.9
2014-15 ,POR,71,35.4,23.4,9.3,19.9,46.6,0.5,1.5,35.2,4.3,5.1,84.5,2.5,7.7,10.2,1.7,1.7,0.7,1.0,1.8,41.5,39,0,4.8
2013-14 ,POR,69,36.2,23.2,9.4,20.6,45.8,0.0,0.2,20.0,4.3,5.2,82.2,2.4,8.7,11.1,2.6,1.8,0.9,1.0,2.1,44.3,40,0,5.3
2012-13 ,POR,74,37.7,21.1,8.6,17.8,48.4,0.0,0.2,14.3,3.8,4.7,81.0,2.4,6.7,9.1,2.6,1.9,0.8,1.2,2.5,40.1,38,0,-0.3
2011-12 ,POR,55,36.3,21.7,8.8,17.1,51.2,0.0,0.2,18.2,4.1,5.0,81.4,2.7,5.3,8.0,2.4,2.0,0.9,0.8,2.8,38.2,13,0,2.7
2010-11 ,POR,81,39.6,21.8,8.7,17.5,50.0,0.0,0.3,17.4,4.3,5.5,79.1,3.4,5.3,8.8,2.1,1.9,1.0,1.2,2.7,40.1,36,0,3.5
2009-10 ,POR,78,37.5,17.9,7.4,15.0,49.5,0.1,0.2,31.3,2.9,3.9,75.7,2.5,5.6,8.0,2.1,1.3,0.9,0.6,3.0,33.7,24,0,3.2
2008-09 ,POR,81,37.1,18.1,7.4,15.3,48.4,0.1,0.3,25.0,3.2,4.1,78.1,2.9,4.6,7.5,1.9,1.5,1.0,1.0,2.6,34.2,19,0,6.0
2007-08 ,POR,76,34.9,17.8,7.4,15.3,48.4,0.0,0.1,14.3,3.0,3.9,76.2,2.9,4.7,7.6,1.6,1.7,0.7,1.2,3.2,33.5,19,0,-0.2
2006-07 ,POR,63,22.1,9.0,3.8,7.6,50.3,0.0,0.0,0.0,1.3,1.8,72.2,2.3,2.7,5.0,0.4,0.7,0.3,1.2,3.0,19.3,6,0,-0.9
