By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
2018-19 ,MIN,31,29.5,18.7,7.3,14.9,48.9,1.5,3.3,45.5,2.6,3.1,84.4,0.6,2.2,2.8,4.7,1.8,0.7,0.3,1.2,30.2,1,0,1.4
2017-18 ,TOT,25,16.8,8.4,3.2,7.4,43.5,0.3,1.2,23.3,1.6,1.8,87.0,0.5,0.9,1.4,1.5,1.4,0.3,0.2,0.6,12.2,0,0,-2.1
2017-18 ,MIN,9,12.4,5.8,2.6,6.0,42.6,0.1,0.7,16.7,0.6,0.6,100,0.3,0.3,0.7,1.2,0.8,0.4,0.0,0.2,9.0,0,0,-1.0
2017-18 ,CLE,16,19.2,9.8,3.6,8.3,43.9,0.4,1.5,25.0,2.2,2.6,85.4,0.6,1.2,1.8,1.6,1.8,0.2,0.3,0.9,14.0,0,0,-2.8
2016-17 ,NYK,64,32.5,18.0,7.2,15.3,47.1,0.2,0.9,21.7,3.5,4.0,87.4,1.0,2.8,3.8,4.4,2.3,0.7,0.3,1.3,29.8,2,0,-2.6
2015-16 ,CHI,66,31.8,16.4,6.8,15.9,42.7,0.7,2.3,29.3,2.2,2.7,79.3,0.7,2.7,3.4,4.7,2.7,0.7,0.2,1.3,27.5,1,0,-2.5
2014-15 ,CHI,51,30.0,17.7,6.6,16.4,40.5,1.5,5.3,28.0,3.0,3.7,81.3,0.7,2.5,3.2,4.9,3.2,0.7,0.3,1.2,28.8,4,0,2.4
2013-14 ,CHI,10,31.1,15.9,5.8,16.4,35.4,1.6,4.7,34.0,2.7,3.2,84.4,0.9,2.3,3.2,4.3,3.4,0.5,0.1,1.5,24.6,0,0,-3.2
2011-12 ,CHI,39,35.2,21.8,7.7,17.8,43.5,1.4,4.4,31.2,5.0,6.1,81.2,0.7,2.7,3.4,7.9,3.1,0.9,0.7,1.3,39.5,9,0,7.4
2010-11 ,CHI,81,37.4,25.0,8.8,19.7,44.5,1.6,4.8,33.2,5.9,6.9,85.8,1.0,3.1,4.1,7.7,3.4,1.0,0.6,1.7,43.0,23,1,6.2
2009-10 ,CHI,78,36.8,20.8,8.6,17.6,48.9,0.2,0.8,26.7,3.3,4.3,76.6,0.8,2.9,3.8,6.0,2.8,0.7,0.3,1.2,34.7,6,0,-0.5
2008-09 ,CHI,81,37.0,16.8,7.1,14.9,47.5,0.2,0.9,22.2,2.4,3.1,78.8,1.2,2.7,3.9,6.3,2.5,0.8,0.2,1.5,31.6,8,0,-1.5
