By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
2018-19 ,PHI,35,30.8,18.1,6.2,14.1,43.8,2.7,7.6,36.1,3.0,3.3,90.4,0.2,2.1,2.3,2.9,1.4,0.2,0.2,2.1,25.2,0,0,5.0
2017-18 ,PHI,70,30.2,17.1,5.8,12.6,46.0,2.8,6.6,42.0,2.8,3.1,90.4,0.1,2.4,2.5,3.0,1.5,0.5,0.1,1.8,25.0,0,0,4.4
2016-17 ,LAC,78,28.2,15.0,5.1,11.4,44.5,2.6,6.0,42.9,2.3,2.6,89.1,0.1,2.1,2.2,1.4,1.3,0.7,0.2,1.6,21.1,0,0,6.1
2015-16 ,LAC,75,28.0,16.3,5.6,11.7,48.0,2.7,5.6,47.5,2.4,2.7,88.8,0.1,1.7,1.9,1.4,1.0,0.6,0.1,1.8,21.5,0,0,6.8
2014-15 ,LAC,78,30.9,16.4,5.7,12.0,47.7,2.6,5.9,43.7,2.3,2.6,90.1,0.3,1.9,2.1,1.8,1.2,0.5,0.1,1.7,22.2,0,0,8.0
2013-14 ,LAC,35,28.2,15.2,5.2,11.4,45.5,2.1,5.3,39.5,2.8,3.0,91.5,0.3,1.9,2.1,2.2,1.2,0.8,0.1,1.9,22.5,0,0,6.1
2012-13 ,TOT,78,30.5,14.1,4.9,11.3,43.4,2.1,5.8,36.6,2.2,2.4,90.0,0.2,2.0,2.2,3.8,1.8,0.5,0.1,1.5,22.5,0,0,-1.2
2012-13 ,MIL,28,28.7,12.3,4.3,10.6,40.3,1.7,5.4,31.8,2.0,2.2,91.8,0.3,1.6,1.9,2.7,1.2,0.3,0.1,1.7,18.8,0,0,0.1
2012-13 ,ORL,50,31.5,15.1,5.2,11.6,45.0,2.3,6.0,39.0,2.3,2.6,89.1,0.2,2.2,2.4,4.4,2.1,0.6,0.1,1.4,24.5,0,0,-1.9
2011-12 ,ORL,65,27.1,11.6,3.8,9.0,42.5,1.7,4.1,41.8,2.2,2.4,91.1,0.3,2.0,2.3,2.5,1.0,0.4,0.1,1.4,18.6,0,0,0.4
2010-11 ,ORL,59,25.6,10.1,3.3,7.6,44.1,1.5,3.7,39.7,1.9,2.2,87.5,0.1,1.8,1.9,1.7,0.9,0.5,0.1,1.4,15.7,0,0,1.7
2009-10 ,ORL,82,22.1,9.6,3.0,6.7,43.9,1.4,3.3,40.5,2.3,2.7,86.0,0.2,1.7,1.9,1.9,0.8,0.3,0.0,1.4,15.2,0,0,2.2
2008-09 ,ORL,64,17.4,6.0,1.8,4.7,39.1,1.0,2.8,37.4,1.3,1.5,87.1,0.1,1.6,1.7,1.1,0.8,0.3,0.0,1.1,9.9,0,0,1.9
2007-08 ,ORL,34,8.1,4.1,1.4,3.2,44.4,0.5,1.3,39.5,0.8,1.0,79.4,0.0,0.6,0.7,0.5,0.4,0.1,0.0,0.9,5.5,0,0,-0.4
2006-07 ,ORL,42,14.8,6.0,1.9,4.6,41.0,0.9,2.3,38.8,1.3,1.4,90.0,0.2,1.0,1.2,0.9,0.5,0.3,0.0,1.2,9.1,0,0,0.0
