idx,name,url
0,James Harden,/player/201935/
1,Kevin Durant,/player/201142/
2,Stephen Curry,/player/201939/
3,Anthony Davis,/player/203076/
4,LeBron James,/player/2544/
5,Damian Lillard,/player/203081/
6,Kawhi Leonard,/player/202695/
7,Joel Embiid,/player/203954/
8,Giannis Antetokounmpo,/player/203507/
9,Paul George,/player/202331/
10,Devin Booker,/player/1626164/
11,Blake Griffin,/player/201933/
12,Kemba Walker,/player/202689/
13,Zach LaVine,/player/203897/
14,Bradley Beal,/player/203078/
15,DeMar DeRozan,/player/201942/
16,Kyrie Irving,/player/202681/
17,Tobias Harris,/player/202699/
18,Klay Thompson,/player/202691/
19,CJ McCollum,/player/203468/
20,Jrue Holiday,/player/201950/
21,Karl-Anthony Towns,/player/1626157/
22,Tim Hardaway Jr.,/player/203501/
23,John Wall,/player/202322/
24,Buddy Hield,/player/1627741/
25,Mike Conley,/player/201144/
26,Russell Westbrook,/player/201566/
27,Donovan Mitchell,/player/1628378/
28,Nikola Vucevic,/player/202696/
29,Victor Oladipo,/player/203506/
30,Danilo Gallinari,/player/201568/
31,Jimmy Butler,/player/202710/
32,Julius Randle,/player/203944/
33,Luka Doncic,/player/1629029/
34,Kevin Love,/player/201567/
35,LaMarcus Aldridge,/player/200746/
36,Derrick Rose,/player/201565/
37,John Collins,/player/1628381/
38,T.J. Warren,/player/203933/
39,Josh Richardson,/player/1626196/
40,Caris LeVert,/player/1627747/
41,Harrison Barnes,/player/203084/
42,Kyle Kuzma,/player/1628398/
43,Spencer Dinwiddie,/player/203915/
44,De'Aaron Fox,/player/1628368/
45,JJ Redick,/player/200755/
46,Nikola Jokic,/player/203999/
47,Andre Drummond,/player/203083/
48,D'Angelo Russell,/player/1626156/
49,Lauri Markkanen,/player/1628374/
