Season,Team,Tournament,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
2018/2019,Juventus,ISA,16,1430,11,5,2,-,6.8,85.8,1.1,4,7.82
2018/2019,Juventus,UCL,5,389,1,2,-,1,5.6,85.4,1.2,1,7.03
2017/2018,Real Madrid,SLL,27,2293,26,5,1,-,6.6,81.6,1.3,7,7.94
2017/2018,Real Madrid,UCL,13,1170,15,3,2,-,6.3,81.4,1.7,4,8.12
2016/2017,Real Madrid,SLL,29,2544,25,6,4,-,5.6,80,1.2,4,7.61
2016/2017,Real Madrid,UCL,13,1200,12,5,1,-,5.6,86.9,1.5,3,8.06
2018,Portugal,WC,4,360,4,-,2,-,5.3,81.9,2,1,7.73
2015/2016,Real Madrid,SLL,36,3185,35,11,3,-,6.3,79.4,1.6,8,7.99
2015/2016,Real Madrid,UCL,12,1109,16,4,1,-,7.9,83.5,1.3,7,8.11
2014/2015,Real Madrid,SLL,35,3099,48,16,5,1,6.4,80.7,1.7,17,8.48
2014/2015,Real Madrid,UCL,12,1065,10,3,1,-,5.9,81.5,1.3,2,7.83
2016,Portugal,UEC,7,625,3,2,1,-,6.4,84.6,2.1,2,7.18
2013/2014,Real Madrid,SLL,30,2545,31,9,4,1,7.2,80.2,1.8,10,8.27
2013/2014,Real Madrid,UCL,11,993,17,4,1,-,6.9,84.2,1.6,4,8.71
2014,Portugal,WC,3,270,1,1,-,-,7.3,78.7,0.7,-,7.21
2012/2013,Real Madrid,SLL,30(4),2721,34,10,9,-,6.9,76.7,1.6,11,8.15
2012/2013,Real Madrid,UCL,12,1080,12,1,1,-,6.8,79.1,1.5,4,7.93
2012,Portugal,UEC,5,481,3,-,1,-,7.4,81.5,0.8,1,7.51
2011/2012,Real Madrid,SLL,37(1),3354,46,12,4,-,6.9,80.6,0.8,11,8.28
2011/2012,Real Madrid,UCL,10,931,10,3,1,-,7.4,78.7,1,3,8.43
2010/2011,Real Madrid,SLL,32(2),2913,40,11,2,-,7.4,75.7,1.4,12,8.35
2010/2011,Real Madrid,UCL,12,1021,6,4,2,-,6.1,84.5,1.6,3,7.87
2009/2010,Real Madrid,SLL,28(1),2490,26,7,3,2,7.3,79.7,0.9,13,8.54
2009/2010,Real Madrid,UCL,5(1),450,7,-,-,-,5.3,81.5,1.8,4,8.47
