Season,Team,Tournament,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
2018/2019,Barcelona,SLL,12(1),1051,11,8,1,-,4.7,83.2,0.2,7,8.61
2018/2019,Barcelona,UCL,3(1),297,6,1,-,-,5.3,85.6,-,3,8.88
2017/2018,Barcelona,SLL,32(4),2997,34,12,3,-,5.5,81.2,0.2,22,8.68
2017/2018,Barcelona,UCL,8(2),783,6,2,2,-,4.4,81.5,0.2,6,8.03
2016/2017,Barcelona,SLL,32(2),2833,37,9,6,-,5.3,80.2,0.2,16,8.47
2016/2017,Barcelona,UCL,9,810,11,2,-,-,4.2,81.4,0.1,2,8.24
2018,Argentina,WC,4,360,1,2,1,-,4.5,82,-,1,7.87
2015/2016,Barcelona,SLL,31(2),2730,26,16,3,-,4.8,81.9,0.2,13,8.46
2015/2016,Barcelona,UCL,7,630,6,1,1,-,5.6,85.2,0.4,1,8.28
2015,Argentina,ICA,6,602,1,3,1,-,4.5,83.7,0.5,2,8.35
2014/2015,Barcelona,SLL,37(1),3375,43,18,4,-,4.9,82.9,0.2,25,8.84
2014/2015,Barcelona,UCL,13,1146,10,5,1,-,4.3,86.2,0.8,9,8.90
2013/2014,Barcelona,SLL,29(2),2508,27,11,2,-,5,84.9,0.2,13,8.34
2013/2014,Barcelona,UCL,7,630,8,-,-,-,4.7,85.9,0.3,5,8.37
2014,Argentina,WC,7,694,4,1,-,-,3.3,80.3,-,5,8.52
2012/2013,Barcelona,SLL,28(4),2644,46,12,1,-,5.1,85.2,0.2,19,8.83
2012/2013,Barcelona,UCL,9(2),827,8,2,-,-,3.7,87.2,0.3,5,7.75
2011/2012,Barcelona,SLL,36(1),3268,50,16,6,-,5.5,84.2,0.1,24,8.88
2011/2012,Barcelona,UCL,11,990,14,5,2,-,6.9,86.9,0.1,8,8.88
2010/2011,Barcelona,SLL,31(2),2859,31,18,3,-,4.5,86.2,0.1,20,8.76
2010/2011,Barcelona,UCL,11(2),1048,12,3,-,-,5.3,88.6,0.1,9,8.87
2009/2010,Barcelona,SLL,30(5),2841,34,10,3,-,4.7,85.7,0.2,14,8.67
2009/2010,Barcelona,UCL,10,897,8,-,-,-,4.9,86.5,0.2,4,8.44
