Season,Team,Tournament,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
2018/2019,Paris Saint-G..,UCL,6,532,5,2,2,-,4,82.9,0.2,4,8.44
2018/2019,Paris Saint-G..,FL1,12,1039,11,5,2,-,3.3,80.8,0.3,5,8.41
2017/2018,Paris Saint-G..,UCL,7,630,6,3,2,-,4,77.9,-,4,9.11
2017/2018,Paris Saint-G..,FL1,20,1788,19,13,4,1,4.5,79.6,0.2,12,8.95
2016/2017,Barcelona,SLL,30,2652,13,11,6,1,3.5,76.5,0.3,9,8.52
2016/2017,Barcelona,UCL,9,797,4,8,5,-,2.2,74.8,0.6,3,8.24
2018,Brazil,WC,5,450,2,1,1,-,5.2,84.9,0.2,2,8.25
2015/2016,Barcelona,SLL,34,3057,24,12,6,-,3.6,80.9,0.6,7,8.43
2015/2016,Barcelona,UCL,9,810,3,4,2,-,3.9,83.4,0.4,3,8.24
2015,Brazil,ICA,2,180,1,1,2,1,4,72.9,0.5,1,7.56
2014/2015,Barcelona,SLL,29(4),2573,22,7,6,-,2.9,81,0.6,2,7.96
2014/2015,Barcelona,UCL,12,1027,10,-,1,-,2.8,82.3,0.3,1,7.92
2013/2014,Barcelona,SLL,19(7),1742,9,8,6,-,2.6,84.5,0.5,4,7.51
2013/2014,Barcelona,UCL,9(1),774,4,3,1,-,3.7,86.4,0.3,3,7.68
2014,Brazil,WC,5,459,4,1,1,-,3.6,79,0.8,2,8.22
2013,Santos FC,BSA,1,90,-,-,-,-,6,75,4,-,7.39
2013,Brazil,ICC,5,413,4,2,1,-,3,82.2,0.4,2,8.29
