Season,Team,Tournament,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
2018/2019,Borussia M.Gl..,GB,15,1343,8,6,1,-,2.5,76.3,0.9,4,7.76
2018/2019,Belgium,UNL,2(2),182,2,-,-,-,1.5,93.3,0.3,-,6.88
2017/2018,Borussia M.Gl..,GB,33(1),2947,10,5,1,-,2.6,76.3,0.9,3,7.11
2016/2017,Borussia M.Gl..,GB,18(5),1632,6,4,3,-,1.8,74.4,0.8,2,7.08
2016/2017,Borussia M.Gl..,UCL,3(1),252,1,1,-,-,1.3,78.8,0.5,2,6.94
2016/2017,Borussia M.Gl..,UEL,2,117,-,-,-,-,1,71.4,-,-,6.39
2018,Belgium,WC,1(1),97,-,-,-,-,1.5,83.7,1,-,7.25
2015/2016,Borussia M.Gl..,GB,19(10),1647,4,3,4,-,1.6,75.4,0.7,2,6.89
2015/2016,Borussia M.Gl..,UCL,1(3),117,-,-,-,-,0.8,78.9,0.3,-,6.23
2014/2015,Borussia M.Gl..,GB,7(21),904,1,7,1,-,0.7,78.6,0.3,1,6.53
2014/2015,Borussia M.Gl..,UEL,6(1),540,1,2,1,-,2.6,82.2,0.1,1,7.25
2013/2014,Zulte-Waregem,UEL,6,489,2,-,2,-,4,84.5,0.5,1,7.28
