Season,Team,Tournament,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
2018/2019,Arsenal,EPL,10(6),1058,6,3,1,-,1.9,72.6,1.6,2,7.12
2018/2019,Arsenal,UEL,1(2),91,1,1,-,-,0.7,75.9,-,-,6.54
2017/2018,Arsenal,UEL,4,331,3,-,-,-,3,84.3,2,1,7.33
2017/2018,Arsenal,EPL,26(6),2212,14,4,1,-,2.1,76.7,0.9,1,7.09
2016/2017,Lyon,UCL,4,342,1,-,1,-,2.5,74.5,0.8,-,6.98
2016/2017,Lyon,FL1,28(2),2408,28,3,3,-,2.8,78,0.9,7,7.57
2016/2017,Lyon,UEL,6(2),539,6,1,1,-,2.3,75.6,0.9,3,7.74
2015/2016,Lyon,UCL,6,501,2,-,-,-,3.5,82.7,0.7,-,6.79
2015/2016,Lyon,FL1,34,2959,21,3,5,-,2.8,77.6,0.9,2,7.36
2014/2015,Lyon,FL1,33,2849,27,6,6,-,2.9,78.8,1.1,8,7.69
2013/2014,Lyon,UEL,8,662,2,1,1,-,3.3,70.7,0.5,1,7.18
2013/2014,Lyon,FL1,35(1),2910,15,3,5,2,2.3,77,0.9,3,7.13
2012/2013,Lyon,UEL,4(1),353,1,-,1,-,1.4,69,0.8,-,7.22
2012/2013,Lyon,FL1,27(4),2289,3,4,-,-,1.2,77.2,0.9,-,6.95
2011/2012,Lyon,UCL,2(4),192,1,1,-,-,1.5,81.1,0.3,1,6.76
2011/2012,Lyon,FL1,15(14),1399,5,2,6,-,1.1,75.9,0.4,1,6.62
2010/2011,Lyon,UCL,0(2),41,1,2,-,-,0.5,66.7,0.5,-,7.19
2010/2011,Lyon,FL1,0(9),142,1,-,-,-,1,73.8,0.3,1,6.29
2009/2010,Lyon,FL1,0(1),12,-,-,-,-,1,33.3,-,-,5.94
