Season,Team,Tournament,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
2018/2019,Manchester Ci..,EPL,13(1),1081,5,2,1,-,2,89.1,0.4,1,7.50
2018/2019,Manchester Ci..,UCL,5,433,3,1,-,-,2,84.5,0.8,2,7.88
2017/2018,Manchester Ci..,UCL,5(2),426,-,2,-,-,0.1,87,0.3,-,6.76
2017/2018,Manchester Ci..,EPL,28(1),2437,9,11,5,-,1.9,88.9,0.6,4,7.58
2016/2017,Manchester Ci..,UCL,6,540,1,2,1,-,0.3,84,0.5,1,7.09
2016/2017,Manchester Ci..,EPL,31(3),2768,4,7,6,-,1.4,87.2,0.5,1,7.28
2018,Spain,WC,4,327,-,-,-,-,2.5,86.8,0.3,-,6.80
2015/2016,Manchester Ci..,UCL,8,629,2,-,1,-,1.4,83.6,0.9,-,7.04
2015/2016,Manchester Ci..,EPL,22(2),1802,2,11,1,-,1.2,86.4,0.4,2,7.28
2014/2015,Manchester Ci..,UCL,5(1),449,-,1,1,-,0.7,88.3,1,1,7.04
2014/2015,Manchester Ci..,EPL,32,2661,12,7,8,-,2.1,85.7,0.5,3,7.53
2016,Spain,UEC,4,334,-,-,1,-,2,85.1,-,-,7.20
2013/2014,Manchester Ci..,UCL,5(1),401,1,1,-,-,1.5,88.9,0.2,-,7.02
2013/2014,Manchester Ci..,EPL,26(1),2174,7,9,5,-,2,88.2,0.3,4,7.57
2014,Spain,WC,2(1),175,-,-,-,-,1,80.6,1.7,-,6.69
2013,Spain,ICC,2(1),179,2,1,-,-,1.7,84.4,-,-,7.48
2012/2013,Manchester Ci..,UCL,3,243,-,-,-,-,1.3,88,-,-,7.09
2012/2013,Manchester Ci..,EPL,29(3),2526,4,8,2,-,1.7,85.4,0.3,3,7.30
2012,Spain,UEC,6,412,2,3,-,-,1.8,84.8,0.2,1,7.52
2011/2012,Manchester Ci..,UCL,6,509,1,2,1,-,2.2,87.1,0.3,1,7.36
2011/2012,Manchester Ci..,EPL,33(3),2819,6,15,-,-,2.4,87.1,0.1,5,7.50
2010/2011,Manchester Ci..,EPL,30(5),2565,4,7,2,-,1.8,87,0.2,2,7.15
2009/2010,Valencia,SLL,28(2),2424,8,7,6,-,2.4,81.7,0.5,4,7.34
