Season,Team,Tournament,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
2018/2019,AC Milan,ISA,12,1018,5,1,3,1,3.8,84.6,0.8,-,6.87
2018/2019,AC Milan,UEL,5,450,2,1,1,-,4.2,84.8,0.4,1,7.26
2017/2018,Juventus,ISA,32(3),2818,16,6,4,-,2.9,80.4,0.3,5,7.25
2017/2018,Juventus,UCL,9(1),831,5,1,1,-,2.4,78.5,0.5,2,7.24
2016/2017,Juventus,ISA,32(6),2968,24,3,1,-,3.5,82.6,0.4,7,7.50
2016/2017,Juventus,UCL,12,1039,5,1,1,-,3.5,79.4,0.8,-,7.14
2015/2016,Napoli,ISA,35,2978,36,2,1,1,5.2,78.1,0.3,9,7.74
2018,Argentina,WC,1(2),132,-,-,-,-,1,86.8,0.7,-,6.16
2015/2016,Napoli,UEL,2(3),224,2,-,-,-,2.4,83.1,0.6,-,6.82
2015,Argentina,ICA,1(3),142,2,-,-,-,1.8,70.2,0.8,-,6.64
2014/2015,Napoli,ISA,31(6),2783,18,7,5,-,3.1,78.3,0.9,4,7.09
2014/2015,Napoli,UEL,10(4),833,7,3,-,-,2.6,76,1,3,7.32
2013/2014,Napoli,ISA,28(4),2423,17,7,6,-,2.8,80.4,0.9,3,7.14
2013/2014,Napoli,UCL,5,407,4,2,1,-,3,84.5,1,-,7.54
2013/2014,Napoli,UEL,4,335,1,2,-,-,3,79.5,1.3,1,7.03
2014,Argentina,WC,6(1),575,1,1,-,-,2.1,84.4,0.3,-,6.43
2012/2013,Real Madrid,SLL,19(9),1741,16,5,3,1,2,74.8,0.9,3,7.24
2012/2013,Real Madrid,UCL,6(3),483,1,2,1,-,1.1,83.6,0.7,-,6.60
2011/2012,Real Madrid,SLL,18(17),1716,22,7,4,-,1.7,84.8,0.2,4,7.31
2011/2012,Real Madrid,UCL,5(7),530,3,2,2,-,0.9,88.3,0.3,-,6.77
2010/2011,Real Madrid,SLL,16(1),1317,10,6,1,-,2.9,81.8,0.4,2,7.51
2010/2011,Real Madrid,UCL,5(1),410,2,-,-,-,3.3,82.9,0.8,-,7.06
2009/2010,Real Madrid,SLL,28(4),2401,27,5,3,-,3.1,81.5,0.1,6,7.90
2009/2010,Real Madrid,UCL,6(1),473,2,1,1,-,2.6,83.7,0.3,1,7.05
