Season,Team,Tournament,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
2018/2019,Real Madrid,SLL,15(1),1262,6,2,1,-,2.6,83.4,1.1,2,7.13
2018/2019,Real Madrid,UCL,6,425,3,2,-,-,2.5,89.4,0.8,2,7.53
2017/2018,Real Madrid,SLL,25(7),2156,5,10,-,-,2,82.9,0.3,1,7.00
2017/2018,Real Madrid,UCL,8(1),600,5,1,-,-,2,83.1,0.2,-,7.20
2016/2017,Real Madrid,SLL,23(6),1914,11,5,-,-,2.4,80.8,0.6,3,7.06
2016/2017,Real Madrid,UCL,12(1),952,5,-,-,-,2.8,83.9,0.7,1,7.12
2015/2016,Real Madrid,SLL,26(1),1994,24,7,1,-,3.6,81.5,0.4,3,7.65
2015/2016,Real Madrid,UCL,8(1),605,4,-,-,-,3,82.2,0.6,-,7.18
2014/2015,Real Madrid,SLL,29,2312,15,10,1,-,2.4,79.3,0.7,2,7.56
2014/2015,Real Madrid,UCL,8(1),664,6,1,-,-,2.1,81.7,0.3,1,7.58
2013/2014,Real Madrid,SLL,34(1),2779,17,9,2,-,2.9,81.9,0.7,1,7.44
2013/2014,Real Madrid,UCL,11,913,5,5,1,-,1.7,87.5,0.4,-,7.30
2014,France,WC,5,450,3,2,-,-,6.2,81.3,0.4,2,7.91
2012/2013,Real Madrid,SLL,19(11),1791,11,11,-,-,2.1,79.1,0.9,1,7.18
2012/2013,Real Madrid,UCL,6(4),531,5,4,-,-,2.2,83.2,0.5,-,7.12
2012,France,UEC,4,346,-,2,-,-,4.8,76,1,-,6.90
2011/2012,Real Madrid,SLL,26(8),2258,21,7,-,-,2.9,81.8,0.4,4,7.39
2011/2012,Real Madrid,UCL,10(1),764,7,5,-,-,3.8,81,0.5,3,7.83
2010/2011,Real Madrid,SLL,20(13),1887,15,5,1,-,2.5,81.3,0.4,1,7.12
2010/2011,Real Madrid,UCL,4(4),375,6,1,-,-,2.6,80.1,0.5,1,7.44
2009/2010,Real Madrid,SLL,14(13),1308,8,3,-,-,2.3,81.3,0.1,2,6.95
2009/2010,Real Madrid,UCL,3(2),315,1,1,-,-,2.6,78.8,0.4,-,7.00
