Season,Team,Tournament,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
2018/2019,Bayer Leverku..,GB,14(2),1228,5,2,2,-,2.3,73.6,1.1,2,6.88
2018/2019,Bayer Leverku..,UEL,1(2),180,-,2,1,-,0.7,67.9,0.3,1,7.14
2017/2018,Bayer Leverku..,GB,30(1),2599,14,2,5,-,1.8,75.8,0.7,1,6.99
2016/2017,Bayer Leverku..,GB,16(7),1472,6,2,3,1,1.5,68.5,1.3,1,6.71
2016/2017,Bayer Leverku..,UCL,3(3),329,1,-,-,-,1.5,75.3,0.5,1,6.54
2015/2016,Hoffenheim,GB,31(2),2731,8,7,8,-,1.9,58.7,0.9,3,7.04
2015,Germany U21,IEU,4,352,2,1,-,-,2.8,60.9,0.8,1,7.03
2014/2015,Hoffenheim,GB,30(2),2670,8,5,6,-,2.6,66,1.4,1,7.19
2013/2014,Hoffenheim,GB,32(1),2880,11,4,4,-,2.8,69.2,1.7,1,7.29
2013,Germany U21,IEU,2(1),231,-,1,-,-,1.7,80,1.7,-,7.16
2012/2013,Hoffenheim,GB,31(3),2698,6,7,4,-,1.5,69.3,0.9,1,6.88
