Season,Team,Tournament,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
2018/2019,Barcelona,SLL,14(1),1269,11,4,2,-,3.5,74.8,0.5,3,7.58
2018/2019,Barcelona,UCL,4,360,-,2,1,-,6,78.8,1,-,7.67
2017/2018,Barcelona,SLL,32(1),2902,25,12,9,-,3.7,76.9,0.4,5,7.72
2017/2018,Barcelona,UCL,10,884,1,3,2,-,3.2,72.6,0.5,-,6.80
2016/2017,Barcelona,SLL,34(1),2865,29,13,8,-,3.4,74.8,0.3,4,7.80
2016/2017,Barcelona,UCL,9,810,3,2,2,-,2.3,71.6,0.6,-,7.09
2018,Uruguay,WC,5,450,2,1,-,-,2.4,63.8,1.2,2,7.09
2015/2016,Barcelona,SLL,35,3150,40,16,6,-,3.9,73.1,0.4,8,8.00
2015/2016,Barcelona,UCL,9,810,8,3,2,-,3.3,71.8,0.2,1,7.73
2014/2015,Barcelona,SLL,25(2),2180,16,14,4,-,2.8,77.2,0.6,3,7.69
2014/2015,Barcelona,UCL,10,828,7,3,1,-,3.8,74.6,0.8,2,7.90
2013/2014,Liverpool,EPL,33,2965,31,12,6,-,5.5,74.8,0.7,14,8.43
2014,Uruguay,WC,2,178,2,-,-,-,4,59.6,-,-,7.23
2013,Uruguay,ICC,4(1),405,4,-,1,-,1.8,67,0.6,-,7.17
2012/2013,Liverpool,UEL,4(2),414,3,-,1,-,3.8,71.3,0.3,1,7.18
2012/2013,Liverpool,EPL,33,2955,23,5,10,-,5.7,76.6,0.4,9,7.89
2011/2012,Liverpool,EPL,29(2),2557,11,3,5,-,4.1,75.3,0.2,6,7.35
2010/2011,Ajax,UCL,5,450,1,3,3,-,4.6,69.3,0.4,2,7.75
2010/2011,Liverpool,EPL,12(1),1102,4,3,2,-,4.2,73,0.2,-,7.63
