Season,Team,Tournament,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
2018/2019,Lyon,UCL,5,416,3,2,3,-,4.6,86.9,0.8,2,7.75
2018/2019,Lyon,FL1,9(2),657,3,2,1,-,3.7,85.3,0.4,-,7.07
2018/2019,France,UNL,0(1),10,-,-,-,-,-,100,-,-,5.97
2017/2018,Lyon,UEL,8,660,3,1,2,-,2.5,85.9,0.3,3,7.73
2017/2018,Lyon,FL1,28(2),2481,18,8,8,-,3,85.3,0.7,12,7.86
2016/2017,Lyon,UCL,3(2),286,-,-,-,-,1.6,81,-,-,6.51
2016/2017,Lyon,FL1,28(4),2224,9,4,5,1,2.2,84.5,0.3,3,7.10
2016/2017,Lyon,UEL,5(3),518,4,3,2,-,3.8,82.7,0.4,1,7.61
2018,France,WC,0(6),69,-,-,-,-,0.7,67.6,0.5,-,6.25
2015/2016,Lyon,FL1,5(4),464,4,1,1,-,2.2,85.4,-,1,7.04
2014/2015,Lyon,FL1,34,2776,13,9,7,-,2.6,83.8,0.6,7,7.57
2013/2014,Lyon,UEL,0(3),32,-,-,-,-,-,50,-,-,6.04
2013/2014,Lyon,FL1,6(5),544,1,2,2,-,0.9,83.4,0.4,1,6.64
