Season,Team,Tournament,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
2018/2019,Liverpool,EPL,15(2),1288,4,3,-,-,2.2,82.8,0.8,1,7.09
2018/2019,Liverpool,UCL,4(2),393,2,-,-,-,1.5,76,0.7,-,6.77
2017/2018,Liverpool,UCL,13,1056,10,7,2,-,3.2,74.6,2.4,1,7.98
2017/2018,Liverpool,EPL,32(5),2778,15,7,1,-,2.3,72.6,1.2,3,7.39
2016/2017,Liverpool,EPL,34(1),3069,11,7,5,-,2.9,79.4,1.8,5,7.54
2018,Brazil,WC,0(4),82,1,-,-,-,1.8,73.8,0.8,-,6.51
2015/2016,Liverpool,UEL,11(2),933,1,2,2,-,1.8,79,1.1,1,6.97
2015/2016,Liverpool,EPL,24(7),1982,10,7,1,-,2,76.6,0.3,5,7.19
2015,Brazil,ICA,3(1),242,1,-,1,-,1.3,74.6,0.8,-,6.56
2014/2015,Hoffenheim,GB,33,2918,7,10,5,-,2.9,72.7,2.3,5,7.79
2013/2014,Hoffenheim,GB,33,2916,16,11,5,-,2.8,74.7,2.2,9,7.94
2012/2013,Hoffenheim,GB,29(4),2477,5,2,9,-,2,72.2,1,1,7.21
2011/2012,Hoffenheim,GB,26(4),2193,7,1,4,-,2.1,78.5,1.3,5,7.47
2010/2011,Hoffenheim,GB,5(6),475,3,-,1,-,1.5,74.5,0.7,1,6.98
