Season,Team,Tournament,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
2018/2019,Liverpool,EPL,14(1),1261,7,1,1,-,2.4,78.1,0.7,4,7.33
2018/2019,Liverpool,UCL,6,539,1,-,1,-,1.8,76.9,0.8,-,6.89
2017/2018,Liverpool,UCL,11,940,10,1,2,-,2.8,77.2,1.5,4,8.12
2017/2018,Liverpool,EPL,28(1),2207,10,7,3,1,2.4,80.4,0.9,1,7.27
2016/2017,Liverpool,EPL,26(1),2248,13,5,4,-,2.1,77.5,1.6,2,7.51
2018,Senegal,WC,3,270,1,-,-,-,1,77.7,0.7,-,6.81
2015/2016,Southampton,EPL,30(7),2608,11,6,4,2,2.3,80.8,0.8,4,7.14
2015,Senegal,ACoN,2,156,-,-,-,-,1,66.2,0.5,-,6.62
2014/2015,Southampton,EPL,24(6),2135,10,3,5,-,2,79.7,0.5,4,7.07
2013/2014,Salzburg,UEL,9,714,4,3,1,1,2,77,1.2,3,8.01
