Season,Team,Tournament,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
2018/2019,Roma,ISA,10(1),880,5,1,-,-,2.7,83.2,1,3,7.35
2018/2019,Roma,UCL,3,174,-,1,-,-,1.7,89.1,0.7,-,6.89
2017/2018,Roma,ISA,25(8),2163,7,4,1,-,2.2,83,0.4,1,6.94
2017/2018,Roma,UCL,4(6),359,2,1,-,-,1.2,85.2,0.2,-,6.68
2016/2017,Roma,ISA,19(13),1628,8,4,-,-,2,80.4,0.5,-,6.89
2016/2017,Roma,UEL,6(2),462,2,-,-,-,1.5,80.8,0.9,2,6.90
2015/2016,Roma,ISA,15(1),1202,8,2,-,-,2.9,80.8,0.6,2,7.32
2015/2016,Monaco,UEL,4(2),400,2,1,1,-,3,83.6,0.2,-,7.06
2015/2016,Roma,UCL,2,138,-,-,-,-,2,78.1,0.5,-,6.28
2015/2016,Monaco,FL1,7(8),680,-,-,1,-,1.8,83.8,0.2,-,6.48
2014/2015,AC Milan,ISA,14(4),1200,3,3,3,-,1.4,83.2,0.2,-,6.74
2016,Italy,UEC,0(1),8,-,-,-,-,1,71.4,-,-,6.02
2013/2014,AC Milan,ISA,1(5),210,-,-,1,-,0.8,85,0.3,-,6.56
2013/2014,AC Milan,UCL,1,24,-,-,-,-,1,57.1,-,-,5.99
2013,Italy,ICC,1(1),139,1,-,-,-,1.5,84,0.5,-,6.29
2012/2013,AC Milan,ISA,34(3),2836,16,4,3,-,2.8,84.8,0.5,6,7.32
2012/2013,AC Milan,UCL,6(2),551,2,2,1,-,2.3,79.1,-,-,6.83
2011/2012,AC Milan,ISA,6(16),785,2,2,1,-,1.3,80.2,0.1,-,6.51
2011/2012,AC Milan,UCL,1(1),108,-,-,-,-,1,69.6,-,-,6.18
2009/2010,Genoa,ISA,0(2),42,-,-,1,-,1,60,0.5,-,6.04
