Season,Team,Tournament,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
2018/2019,Chelsea,EPL,10(4),839,5,-,3,-,2.3,75.8,1.3,-,6.61
2018/2019,Chelsea,UEL,3(1),233,2,-,1,-,4.8,81.6,2.5,-,6.98
2018/2019,Spain,UNL,0(2),44,-,-,1,-,1,75,1,-,5.89
2017/2018,Chelsea,UCL,4(3),383,1,-,1,-,3,75.6,0.7,-,6.44
2017/2018,Chelsea,EPL,24(7),2067,11,6,7,-,2.5,73.3,1.7,1,6.94
2016/2017,Real Madrid,SLL,14(12),1334,15,4,8,-,2.1,78.8,0.9,1,7.17
2016/2017,Real Madrid,UCL,1(8),167,3,1,-,-,0.6,81.8,0.2,-,6.47
2015/2016,Juventus,ISA,16(18),1456,7,7,6,-,1.4,79.1,0.6,1,6.76
2015/2016,Juventus,UCL,6(2),534,2,2,2,-,3.3,76.2,2.1,1,7.19
2014/2015,Juventus,ISA,11(18),1321,8,5,6,1,1.8,75,0.8,2,6.74
2014/2015,Juventus,UCL,9(3),744,5,-,2,-,2.1,71.1,2,1,7.09
2016,Spain,UEC,4,289,3,-,-,-,3.3,74.6,1.3,1,7.10
2013/2014,Real Madrid,SLL,3(20),559,8,-,2,-,1.7,69.2,0.9,-,6.66
2013/2014,Real Madrid,UCL,1(4),174,1,-,-,-,1.6,80.4,0.2,-,6.60
2013,Spain U21,IEU,2(3),245,4,2,1,-,3.8,76.8,0.4,-,7.71
2012/2013,Real Madrid,SLL,5(7),399,2,1,3,-,1,63.3,1.7,1,6.68
2012/2013,Real Madrid,UCL,0(1),10,-,1,-,-,-,80,-,-,6.81
2011/2012,Real Madrid,SLL,0(1),8,-,-,-,-,1,25,-,-,6.16
2010/2011,Real Madrid,SLL,0(1),1,-,-,-,-,-,50,-,-,6.08
